"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","09:24","","Michaéla Eriksson","IBF Örebro Ungdom","Period3","Hands",2,"Kumla IBK - IBF Örebro Ungdom","Fredrik Knutsson","Tony Wennberg","Fredrik Knutsson, Tony Wennberg"
"2","Utvisning","01:46","","Nadin Aldeeb","Lillån IBK","Period2","Slag",2,"Karlstad IBF Ungdom - Lillån IBK","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"3","Utvisning","07:29","","Caroline Nordqvist","Karlstad IBF Ungdom","Period2","Slag",2,"Karlstad IBF Ungdom - Lillån IBK","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"4","Utvisning","15:42","","Jennie Evaldsson","Lillån IBK","Period2","Slag",2,"Karlstad IBF Ungdom - Lillån IBK","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"5","Utvisning","15:42","","Ellinor Pettersson","Karlstad IBF Ungdom","Period2","Felaktigt byte",2,"Karlstad IBF Ungdom - Lillån IBK","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"6","Utvisning","14:41","","Maja Elf","Karlstad IBF Ungdom","Period3","Felaktigt avstånd",2,"Karlstad IBF Ungdom - Lillån IBK","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"7","Utvisning","14:30","","Anna Zander","Filipstad IBK","Period1","Hårt spel 2",2,"Filipstad IBK - Per-Ols IBF","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"8","Utvisning","14:09","","Linnéa Berggren","Per-Ols IBF","Period2","Slag",2,"Filipstad IBK - Per-Ols IBF","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"9","Utvisning","14:09","","Linnéa Berggren","Per-Ols IBF","Period2","Upprepade förseelser",2,"Filipstad IBK - Per-Ols IBF","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"10","Utvisning","17:51","","Alexandra Berggren","Per-Ols IBF","Period2","Otillåten trängning",2,"Filipstad IBK - Per-Ols IBF","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"11","Utvisning","18:17","","Tiffany Salomaa","IBK Hallsta","Period1","Fördröjande av spelet",2,"IBK Hallsta - Hagfors IF Uddeholm","Henrik Brehmer","Jonathan Morén","Henrik Brehmer, Jonathan Morén"
"12","Utvisning","11:30","","Jennifer Lid Nilsson","Kristinehamns IBF","Period3","Låsning av klubba",2,"Skattkärrs IK - Kristinehamns IBF","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"13","Utvisning","09:13","","Camilla Olsson","Kristinehamns IBF","Period2","Slag",2,"IFK Arboga IBK - Kristinehamns IBF","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"14","Utvisning","08:30","","Elin Kempe","IFK Arboga IBK","Period3","Otillåten trängning",2,"IFK Arboga IBK - Kristinehamns IBF","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"15","Utvisning","16:39","","Felicia Bäck","IFK Arboga IBK","Period3","Slag",2,"IFK Arboga IBK - Kristinehamns IBF","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"16","Utvisning","16:49","","Wilma Olsson","Kristinehamns IBF","Period3","Otillåten trängning",2,"IFK Arboga IBK - Kristinehamns IBF","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"17","Utvisning","05:28","","Marilyn Olivas","Sala Silverstaden IBK","Period1","Hårt spel 2",2,"Sala Silverstaden IBK - Hagfors IF Uddeholm","Camilla Eriksson","Michael Rosenlönn","Camilla Eriksson, Michael Rosenlönn"
"18","Utvisning","15:44","","Tindra Werner-Koning","Hagfors IF Uddeholm","Period2","Låsning av klubba",2,"Sala Silverstaden IBK - Hagfors IF Uddeholm","Camilla Eriksson","Michael Rosenlönn","Camilla Eriksson, Michael Rosenlönn"
"19","Utvisning","11:43","","Wilma Ahl","Hagfors IF Uddeholm","Period3","Slag",2,"Sala Silverstaden IBK - Hagfors IF Uddeholm","Camilla Eriksson","Michael Rosenlönn","Camilla Eriksson, Michael Rosenlönn"
"20","Utvisning","16:21","","Rebecca Odd","Hagfors IF Uddeholm","Period3","Slag",2,"Sala Silverstaden IBK - Hagfors IF Uddeholm","Camilla Eriksson","Michael Rosenlönn","Camilla Eriksson, Michael Rosenlönn"
"21","Utvisning","10:24","","Malin Dahlvik","Skälby IBK","Period1","Otillåten trängning",2,"IBK Sala - Skälby IBK","Marcus Karppinen","William Ringkvist","Marcus Karppinen, William Ringkvist"
"22","Utvisning","10:46","","Caroline Persson","Skälby IBK","Period3","Slag",2,"IBK Sala - Skälby IBK","Marcus Karppinen","William Ringkvist","Marcus Karppinen, William Ringkvist"
"23","Utvisning","11:05","","Anna Hansson","IBK Sala","Period3","Osportsligt uppträdande",12,"IBK Sala - Skälby IBK","Marcus Karppinen","William Ringkvist","Marcus Karppinen, William Ringkvist"
"24","Utvisning","18:27","","Sandra Ekström-Rönnerfjäll","IBK Sala","Period1","Protest mot domslut",2,"Skälby IBK - IBK Sala","Dan Barthlen","Marcus Karppinen","Dan Barthlen, Marcus Karppinen"
"25","Utvisning","16:57","","Sandra Ekström-Rönnerfjäll","IBK Sala","Period2","Protest mot domslut",2,"Skälby IBK - IBK Sala","Dan Barthlen","Marcus Karppinen","Dan Barthlen, Marcus Karppinen"
"26","Utvisning","06:14","","Emma Carlen Björemo","Skattkärrs IK","Period1","Slag",2,"Skattkärrs IK - Sala Silverstaden IBK","Linus Larsson","Oskar Sundin","Linus Larsson, Oskar Sundin"
"27","Utvisning","05:55","","Wilma Hammarström","Sala Silverstaden IBK","Period3","Slag",2,"Skattkärrs IK - Sala Silverstaden IBK","Linus Larsson","Oskar Sundin","Linus Larsson, Oskar Sundin"
"28","Utvisning","06:35","","Sofia Eriksson ","Hagfors IF Uddeholm","Period1","Slag",2,"Hagfors IF Uddeholm - IBK Hallsta","Philip Aronsson-Elffors","Christoffer Frykestam","Philip Aronsson-Elffors, Christoffer Frykestam"
"29","Utvisning","09:41","","Molly Alander","IBK Hallsta","Period2","Slag",2,"Hagfors IF Uddeholm - IBK Hallsta","Philip Aronsson-Elffors","Christoffer Frykestam","Philip Aronsson-Elffors, Christoffer Frykestam"
"30","Utvisning","16:08","","Tindra Werner-Koning","Hagfors IF Uddeholm","Period2","Fasthållning",2,"Hagfors IF Uddeholm - IBK Hallsta","Philip Aronsson-Elffors","Christoffer Frykestam","Philip Aronsson-Elffors, Christoffer Frykestam"
"31","Utvisning","20:00","","Isabella Spännare","IBK Hallsta","Period2","Slag",2,"Hagfors IF Uddeholm - IBK Hallsta","Philip Aronsson-Elffors","Christoffer Frykestam","Philip Aronsson-Elffors, Christoffer Frykestam"
"32","Utvisning","10:29","","Julia Nilsson","Hagfors IF Uddeholm","Period3","Låsning av klubba",2,"Hagfors IF Uddeholm - IBK Hallsta","Philip Aronsson-Elffors","Christoffer Frykestam","Philip Aronsson-Elffors, Christoffer Frykestam"
"33","Utvisning","03:34","","Julia Lid-Nilsson ","Kristinehamns IBF","Period1","Hårt spel 2",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"34","Utvisning","15:36","","Emma Norgren Bergström","IFK Arboga IBK","Period1","Felaktigt avstånd",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"35","Utvisning","17:56","","Sofia Gustavsson","IFK Arboga IBK","Period1","Obstruktion",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"36","Utvisning","06:57","","Julia Lid-Nilsson ","Kristinehamns IBF","Period2","Hårt spel 2",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"37","Utvisning","10:10","","Felicia Bäck","IFK Arboga IBK","Period2","Hårt spel 2",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"38","Utvisning","18:59","","Jennifer Lid Nilsson","Kristinehamns IBF","Period2","Obstruktion",2,"Kristinehamns IBF - IFK Arboga IBK","Erik Ejerfeldt","Adam Haglund","Erik Ejerfeldt, Adam Haglund"
"39","Utvisning","19:04","","Anette Lundin","Sala Silverstaden IBK","Period1","Otillåten trängning",2,"Sala Silverstaden IBK - Skattkärrs IK","Gabriel Brandberg","Mårten Hanold","Gabriel Brandberg, Mårten Hanold"
"40","Utvisning","08:38","","Ida Vilhelmsson","Sala Silverstaden IBK","Period3","Fasthållning",2,"Sala Silverstaden IBK - Skattkärrs IK","Gabriel Brandberg","Mårten Hanold","Gabriel Brandberg, Mårten Hanold"
"41","Utvisning","10:53","","Felicia Nordh","Skattkärrs IK","Period3","Fasthållning",2,"Sala Silverstaden IBK - Skattkärrs IK","Gabriel Brandberg","Mårten Hanold","Gabriel Brandberg, Mårten Hanold"
"42","Utvisning","12:49","","Jennifer Lind","Sala Silverstaden IBK","Period3","Hårt spel 2",2,"Sala Silverstaden IBK - Skattkärrs IK","Gabriel Brandberg","Mårten Hanold","Gabriel Brandberg, Mårten Hanold"
