"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","13:47","","Linnea Lindström","Sandåkerns SK","Period3","Otillåten trängning",2,"Sävar IK - Sandåkerns SK","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"2","Utvisning","08:02","","Alvina Mukkala","Spöland Vännäs IF","Period3","Slag",2,"Spöland Vännäs IF - Örnsköldsvik IBF","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"3","Utvisning","12:47","","Vanessa Hedström","Skellefteå IBK","Period3","Hårt spel 2",2,"Skellefteå IBK - Kågedalens AIF","Micael Holmbom","Johan Rönnberg","Micael Holmbom, Johan Rönnberg"
"4","Utvisning","08:06","","Elin Bergsdorf","Holmsund City IBC","Period2","Slag",2,"Sävar IK - Holmsund City IBC","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"5","Utvisning","13:36","","Felicia Åkerlund","Sävar IK","Period2","Fasthållning",2,"Sävar IK - Holmsund City IBC","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"6","Utvisning","00:00","","Moa Bergsdorf","Holmsund City IBC","Period3","Fördröjande av spelet",2,"Sävar IK - Holmsund City IBC","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"7","Utvisning","19:24","","Emma Jacobsson","Sävar IK","Period3","Otillåten trängning",2,"Spöland Vännäs IF - Sävar IK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"8","Utvisning","19:50","","Sandra Nilsson","Spöland Vännäs IF","Period3","Hårt spel 2",2,"Spöland Vännäs IF - Sävar IK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"9","Utvisning","05:02","","Elin Nordin","Örnsköldsvik IBF","Period2","Slag",2,"Spöland Vännäs IF - Örnsköldsvik IBF","Per Fallbjörk","Rasmus Säfvenberg","Per Fallbjörk, Rasmus Säfvenberg"
"10","Utvisning","15:24","","Ella Myrenius","Kågedalens AIF","Period3","Otillåten trängning",2,"Kågedalens AIF - Holmsund City IBC","Erik Hörnros","Peter Saari","Erik Hörnros, Peter Saari"
"11","Utvisning","08:02","","Emma Lindgren","Sandåkerns SK","Period1","Slag",2,"Sandåkerns SK - Skellefteå IBK","Alvin Gustavsson","Ville Hedsberg","Alvin Gustavsson, Ville Hedsberg"
"12","Utvisning","09:47","","Matilda Karlsson","Sandåkerns SK","Period2","Otillåten trängning",2,"Sandåkerns SK - Skellefteå IBK","Alvin Gustavsson","Ville Hedsberg","Alvin Gustavsson, Ville Hedsberg"
"13","Utvisning","11:35","","Ebba Elenius","Skellefteå IBK","Period2","Slag",2,"Sandåkerns SK - Skellefteå IBK","Alvin Gustavsson","Ville Hedsberg","Alvin Gustavsson, Ville Hedsberg"
"14","Utvisning","04:15","","Elsa Bergström","Sandåkerns SK","Period3","Slag",2,"Sandåkerns SK - Skellefteå IBK","Alvin Gustavsson","Ville Hedsberg","Alvin Gustavsson, Ville Hedsberg"
"15","Utvisning","03:28","","Andrea Stenlund","Skellefteå IBK","Period1","Slag",2,"Sandåkerns SK - Skellefteå IBK","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"16","Utvisning","07:23","","Julia Wedman","Röbäcks IF","Period2","Upprepade förseelser",2,"Sandåkerns SK - Röbäcks IF","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"17","Utvisning","08:03","","Julia Persson","Sandåkerns SK","Period2","Upprepade förseelser",2,"Sandåkerns SK - Röbäcks IF","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"18","Utvisning","15:14","","Elsa Bergström","Sandåkerns SK","Period3","Slag",2,"Sandåkerns SK - Röbäcks IF","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"19","Utvisning","02:39","","Meja Käller","Kågedalens AIF","Period3","Slag",2,"Kågedalens AIF - Holmsund City IBC","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"20","Utvisning","12:43","","Ella Myrenius","Kågedalens AIF","Period3","Upprepade förseelser",2,"Kågedalens AIF - Holmsund City IBC","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"21","Utvisning","13:30","","Moa Bergsdorf","Holmsund City IBC","Period3","Matchstraff 1",20,"Kågedalens AIF - Holmsund City IBC","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"22","Utvisning","17:38","","Mikaela Hjerpe","Sandåkerns SK","Period1","Slag",2,"Röbäcks IF - Sandåkerns SK","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"23","Utvisning","06:48","","Amelia Lidgren","Sandåkerns SK","Period2","Slag",2,"Röbäcks IF - Sandåkerns SK","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"24","Utvisning","16:31","","Edith Wallin","Röbäcks IF","Period2","Låsning av klubba",2,"Röbäcks IF - Sandåkerns SK","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"25","Utvisning","14:00","","Edith Wallin","Röbäcks IF","Period3","Otillåten trängning",2,"Röbäcks IF - Sandåkerns SK","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"26","Utvisning","02:46","","Amanda Björkman","Holmsund City IBC","Period2","Slag",2,"Holmsund City IBC - Örnsköldsvik IBF","Henrik Johansson","Fredrik Söderholm","Henrik Johansson, Fredrik Söderholm"
"27","Utvisning","05:30","","Hannah Gidlund","Örnsköldsvik IBF","Period2","Slag",2,"Holmsund City IBC - Örnsköldsvik IBF","Henrik Johansson","Fredrik Söderholm","Henrik Johansson, Fredrik Söderholm"
"28","Utvisning","08:27","","Maja Sköldh","Örnsköldsvik IBF","Period2","Upprepade förseelser",2,"Holmsund City IBC - Örnsköldsvik IBF","Henrik Johansson","Fredrik Söderholm","Henrik Johansson, Fredrik Söderholm"
"29","Utvisning","11:32","","Linn Pettersson","Örnsköldsvik IBF","Period2","Hög klubba",2,"Holmsund City IBC - Örnsköldsvik IBF","Henrik Johansson","Fredrik Söderholm","Henrik Johansson, Fredrik Söderholm"
"30","Utvisning","06:44","","Hanna Sundström","Holmsund City IBC","Period3","Felaktigt byte",2,"Holmsund City IBC - Örnsköldsvik IBF","Henrik Johansson","Fredrik Söderholm","Henrik Johansson, Fredrik Söderholm"
"31","Utvisning","09:34","","Claudia Saksa","Holmsund City IBC","Period2","Slag",2,"Spöland Vännäs IF - Holmsund City IBC","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"32","Utvisning","14:03","","Moa Undin","Holmsund City IBC","Period2","Slag",2,"Spöland Vännäs IF - Holmsund City IBC","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"33","Utvisning","15:43","","Claudia Saksa","Holmsund City IBC","Period2","Slag",2,"Spöland Vännäs IF - Holmsund City IBC","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"34","Utvisning","18:28","","Jenny Ström","Holmsund City IBC","Period3","Slag",2,"Spöland Vännäs IF - Holmsund City IBC","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
