"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","11:01","","Lisa Möller","IBK Alingsås","Period2","Slag",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"2","Utvisning","10:29","","Portia Roos","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"3","Utvisning","13:06","","Olivia Kängström","IBK Alingsås","Period3","Upprepade förseelser",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"4","Utvisning","15:40","","Nora Dalbark-Carlén","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"5","Utvisning","19:37","","Thelma Stålhammar","IBK Lockerud Mariestad U","Period3","Osportsligt uppträdande",12,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"6","Utvisning","19:37","","Sofia Ström ","IBK Alingsås","Period3","Osportsligt uppträdande",12,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"7","Utvisning","09:17","","Emma Erlandsson","Mullsjö AIS","Period3","Otillåten trängning",2,"Tvåstad KIK - Mullsjö AIS","Kenth Lindqvist","Dan Pettersson","Kenth Lindqvist, Dan Pettersson"
"8","Utvisning","16:49","","Sara Magnusson","IBK Lidköping","Period1","Obstruktion",2,"Skövde IBF - IBK Lidköping","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"9","Utvisning","17:19","","Amanda Reinhardt","IBK Lidköping","Period3","Otillåten trängning",2,"Skövde IBF - IBK Lidköping","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"10","Utvisning","15:41","","Tea Wennlund","IBK Lockerud Mariestad U","Period1","Otillåten trängning",2,"Tvåstad KIK - IBK Lockerud Mariestad U","Henrik Carlsson","Magnus Jansson","Henrik Carlsson, Magnus Jansson"
"11","Utvisning","07:38","","Elin Edström","IBK Lockerud Mariestad U","Period3","Liggande spel",2,"Tvåstad KIK - IBK Lockerud Mariestad U","Henrik Carlsson","Magnus Jansson","Henrik Carlsson, Magnus Jansson"
"12","Utvisning","11:51","","Thelma Stålhammar","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"Tvåstad KIK - IBK Lockerud Mariestad U","Henrik Carlsson","Magnus Jansson","Henrik Carlsson, Magnus Jansson"
"13","Utvisning","14:29","","Jennifer Klingberg","IBK Lockerud Mariestad U","Period3","Obstruktion",2,"Tvåstad KIK - IBK Lockerud Mariestad U","Henrik Carlsson","Magnus Jansson","Henrik Carlsson, Magnus Jansson"
"14","Utvisning","19:15","","Malin Hedlund Karlsson","Tvåstad KIK","Period3","Otillåten trängning",2,"Tvåstad KIK - IBK Lockerud Mariestad U","Henrik Carlsson","Magnus Jansson","Henrik Carlsson, Magnus Jansson"
"15","Utvisning","12:06","","Jennifer Lundgren","Fristads GoIF","Period1","Slag",2,"Fristads GoIF - IBK Alingsås","Henrik Carlsson","Dan Pettersson","Henrik Carlsson, Dan Pettersson"
"16","Utvisning","08:35","","Jessica Svensson","IBK Alingsås","Period2","Slag",2,"Fristads GoIF - IBK Alingsås","Henrik Carlsson","Dan Pettersson","Henrik Carlsson, Dan Pettersson"
"17","Utvisning","00:56","","Maja Rosén","IBK Lidköping","Period2","Slag",2,"Mullsjö AIS - IBK Lidköping","Iza Hederdahl","Johan Thaning","Iza Hederdahl, Johan Thaning"
"18","Utvisning","15:01","","Matilda Ahlström","Sandareds IBS","Period1","Liggande spel",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"19","Utvisning","05:04","","Juliette Wikström","Sandareds IBS","Period2","Slag",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"20","Utvisning","13:02","","Astrid Jonasson","Skövde IBF","Period2","Hög klubba",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"21","Utvisning","17:10","","Madeleine Johansson","Sandareds IBS","Period2","Slag",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"22","Utvisning","12:55","","Ida Larsson","Skövde IBF","Period3","Slag",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"23","Utvisning","18:48","","Mikaela Svensson","Sandareds IBS","Period3","Liggande spel",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"24","Utvisning","19:00","","Ida Andersson","Skövde IBF","Period3","Fasthållning",2,"Sandareds IBS - Skövde IBF","Richard Claesson","Harri Tjäder","Richard Claesson, Harri Tjäder"
"25","Utvisning","09:04","","Juliette Wikström","Sandareds IBS","Period1","Låsning av klubba",2,"IBK Tygriket 99 - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"26","Utvisning","11:27","","","","Period2","Straff",2,"IBK Tygriket 99 - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"27","Utvisning","12:32","","Anna Nilsson","IBK Tygriket 99","Period2","Felaktigt avstånd",2,"IBK Tygriket 99 - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"28","Utvisning","17:33","","Hanna Håkansson","Sandareds IBS","Period2","Slag",2,"IBK Tygriket 99 - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"29","Utvisning","12:03","","Maja Josefsson","Skövde IBF","Period2","Upprepade förseelser",2,"Skövde IBF - Fagerhult Habo IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"30","Utvisning","14:55","","Ella Ingvarsson","Fagerhult Habo IBK","Period2","Felaktigt avstånd",2,"Skövde IBF - Fagerhult Habo IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"31","Utvisning","12:44","","Sara Anteryd","Fagerhult Habo IBK","Period2","Låsning av klubba",2,"Fagerhult Habo IBK - Sandareds IBS","Christoffer Danielsson","Johan Thaning","Christoffer Danielsson, Johan Thaning"
"32","Utvisning","19:02","","Mikaela Svensson","Sandareds IBS","Period3","Otillåten trängning",2,"Fagerhult Habo IBK - Sandareds IBS","Christoffer Danielsson","Johan Thaning","Christoffer Danielsson, Johan Thaning"
"33","Utvisning","17:56","","Maja Rosén","IBK Lidköping","Period1","Felaktigt avstånd",2,"IBK Alingsås - IBK Lidköping","Carl Larsson","Pavle Velcov","Carl Larsson, Pavle Velcov"
"34","Utvisning","10:56","","Mathilda Caspersson","IBK Lidköping","Period2","Hårt spel 2",2,"IBK Alingsås - IBK Lidköping","Carl Larsson","Pavle Velcov","Carl Larsson, Pavle Velcov"
"35","Utvisning","10:59","","Sarastina Åkesäter","IBK Lidköping","Period3","Osportsligt uppträdande",12,"IBK Alingsås - IBK Lidköping","Carl Larsson","Pavle Velcov","Carl Larsson, Pavle Velcov"
"36","Utvisning","07:24","","Sophie Janeman","Mullsjö AIS","Period1","Slag",2,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"37","Utvisning","08:51","","Felicia Norman","Mullsjö AIS","Period1","Otillåten trängning",2,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"38","Utvisning","16:03","","Anna Asplund","Fristads GoIF","Period2","Hårt spel 5",5,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"39","Utvisning","08:22","","Jennifer Lundgren","Fristads GoIF","Period3","Slag",2,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"40","Utvisning","10:11","","Ida Johansson","Mullsjö AIS","Period3","Otillåten trängning",2,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"41","Utvisning","14:42","","Jonna Löwing","Mullsjö AIS","Period3","Lyftning av klubba",2,"Fristads GoIF - Mullsjö AIS","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"42","Utvisning","10:32","","Moa Hassléus","BK Halna","Period3","Otillåten trängning",2,"BK Halna - Mullsjö AIS","Iza Hederdahl","Johan Thaning","Iza Hederdahl, Johan Thaning"
"43","Utvisning","19:16","","Sara Juhlin","IBK Lockerud Mariestad U","Period1","Slag",2,"IBK Lockerud Mariestad U - IBK Tygriket 99","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"44","Utvisning","14:21","","Alva Löfvenberg","IBK Tygriket 99","Period2","Otillåten trängning",2,"IBK Lockerud Mariestad U - IBK Tygriket 99","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"45","Utvisning","05:49","","Jessica Ljungqvist","Fristads GoIF","Period2","Otillåten trängning",2,"IBK Lockerud Mariestad U - Fristads GoIF","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"46","Utvisning","08:40","","Louise Andersson","Fristads GoIF","Period2","Felaktigt avstånd",2,"IBK Lockerud Mariestad U - Fristads GoIF","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"47","Utvisning","01:16","","Nathalie Kvist Höglander","Tvåstad KIK","Period2","Otillåten trängning",2,"IBK Alingsås - Tvåstad KIK","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"48","Utvisning","09:46","","Jessica Svensson","IBK Alingsås","Period3","Slag",2,"IBK Alingsås - Tvåstad KIK","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"49","Utvisning","11:00","","Matilda Sixtensson","Tvåstad KIK","Period3","Slag",2,"IBK Alingsås - Tvåstad KIK","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"50","Utvisning","16:34","","Jessica Svensson","IBK Alingsås","Period3","Otillåten trängning",2,"IBK Alingsås - Tvåstad KIK","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"51","Utvisning","00:48","","Ida Larsson","Skövde IBF","Period2","Slag",2,"Skövde IBF - BK Halna","Pedram Koublani","Dan Pettersson","Pedram Koublani, Dan Pettersson"
"52","Utvisning","06:28","","Erica Andersson","Skövde IBF","Period2","Felaktigt byte",2,"Skövde IBF - BK Halna","Pedram Koublani","Dan Pettersson","Pedram Koublani, Dan Pettersson"
"53","Utvisning","08:12","","Marjo Nieminen","BK Halna","Period2","Hårt spel 2",2,"Skövde IBF - BK Halna","Pedram Koublani","Dan Pettersson","Pedram Koublani, Dan Pettersson"
"54","Utvisning","11:52","","Julia Pettersson","BK Halna","Period3","Felaktigt avstånd",2,"Skövde IBF - BK Halna","Pedram Koublani","Dan Pettersson","Pedram Koublani, Dan Pettersson"
"55","Utvisning","07:32","","Merit Skoghammar","IBK Lidköping","Period1","Hårt spel 5",5,"IBK Lidköping - Mullsjö AIS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"56","Utvisning","06:14","","Felicia Norman","Mullsjö AIS","Period3","Otillåten trängning",2,"IBK Lidköping - Mullsjö AIS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"57","Utvisning","14:01","","Ida Johansson","Mullsjö AIS","Period3","Otillåten trängning",2,"IBK Lidköping - Mullsjö AIS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"58","Utvisning","06:10","","Lina Westerlund","Tvåstad KIK","Period2","Felaktigt byte",2,"IBK Lockerud Mariestad U - Tvåstad KIK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"59","Utvisning","18:11","","Emilia Stålbark","Fagerhult Habo IBK","Period1","Slag",2,"IBK Tygriket 99 - Fagerhult Habo IBK","Richard Claesson","Joakim Mattsson","Richard Claesson, Joakim Mattsson"
"60","Utvisning","08:12","","Annie Olsson","Fagerhult Habo IBK","Period2","Hårt spel 2",2,"IBK Tygriket 99 - Fagerhult Habo IBK","Richard Claesson","Joakim Mattsson","Richard Claesson, Joakim Mattsson"
"61","Utvisning","17:06","","Stina Svensson","IBK Tygriket 99","Period1","Otillåten trängning",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"62","Utvisning","04:25","","Hanna Karlsson","IBK Tygriket 99","Period2","Låsning av klubba",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"63","Utvisning","07:37","","Negjimije Beka","Tvåstad KIK","Period2","Hands",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"64","Utvisning","16:33","","Annie Bratt","Tvåstad KIK","Period2","För många spelare på plan",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"65","Utvisning","05:35","","Ella Ingvarsson","Fagerhult Habo IBK","Period1","Hands",2,"Fagerhult Habo IBK - Skövde IBF","Richard Claesson","Carl Larsson","Richard Claesson, Carl Larsson"
