"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:40","","Benita Bruzelius","IBK Göteborg D1","Period2","Hårt spel 2",2,"IBF Backadalen - IBK Göteborg D1","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"2","Utvisning","11:19","","Izabella Fernqvist","IBK Göteborg D1","Period2","Slag",2,"IBF Backadalen - IBK Göteborg D1","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"3","Utvisning","18:20","","Matilda Andersson","IBF Backadalen","Period3","Hårt spel 2",2,"IBF Backadalen - IBK Göteborg D1","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"4","Utvisning","11:02","","Ebba Johansson","FBC Lerum","Period2","Upprepade förseelser",2,"Partille IBS - FBC Lerum","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"5","Utvisning","12:00","","Frida Zätterman","FBC Lerum","Period3","Upprepade förseelser",2,"Partille IBS - FBC Lerum","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"6","Utvisning","05:52","","Caroline Sandberg","Guldhedens IK D1","Period2","Hands",2,"Burås IK D1 - Guldhedens IK D1","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"7","Utvisning","16:56","","Anna Olsén","Burås IK D1","Period2","Hög klubba",2,"Burås IK D1 - Guldhedens IK D1","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"8","Utvisning","16:16","","Sofia Brydolf","FBC Lerum","Period2","Låsning av klubba",2,"Lindome IBK Utv D1 - FBC Lerum","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"9","Utvisning","06:13","","Linn Backman","IK Zenith","Period2","Slag",2,"Pixbo Wallenstam IBF - IK Zenith","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"10","Utvisning","06:56","","Cornelia Skålberg","Pixbo Wallenstam IBF","Period2","Hårt spel 2",2,"Pixbo Wallenstam IBF - IK Zenith","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"11","Utvisning","04:21","","Ebba Pehrsson","Pixbo Wallenstam IBF","Period3","Slag",2,"Pixbo Wallenstam IBF - IK Zenith","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"12","Utvisning","11:28","","Emma Grauss","Pixbo Wallenstam IBF","Period3","Slag",2,"Pixbo Wallenstam IBF - IK Zenith","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
