"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","16:47","","Josephine Piispanen","Skälby IBK","Period1","Slag",2,"Per-Ols IBF - Skälby IBK","Tim Solig","Rasmus Zarins","Tim Solig, Rasmus Zarins"
"2","Utvisning","05:58","","Josephine Piispanen","Skälby IBK","Period2","Obstruktion",2,"Per-Ols IBF - Skälby IBK","Tim Solig","Rasmus Zarins","Tim Solig, Rasmus Zarins"
"3","Utvisning","06:07","","Alexandra Larsen","Hagfors IF Uddeholm","Period3","Obstruktion",2,"Skattkärrs IK - Hagfors IF Uddeholm","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"4","Utvisning","13:14","","Ebba Pennerborn","Skattkärrs IK","Period3","Hårt spel 2",2,"Skattkärrs IK - Hagfors IF Uddeholm","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"5","Utvisning","17:56","","Emma Lindström","Filipstad IBK","Period1","Lyftning av klubba",2,"Filipstad IBK - Karlstad IBF Ungdom","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"6","Utvisning","17:46","","Anna Zander","Filipstad IBK","Period2","Slag",2,"Filipstad IBK - Karlstad IBF Ungdom","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"7","Utvisning","12:57","","Ellinor Pettersson","Karlstad IBF Ungdom","Period3","Hårt spel 2",2,"Filipstad IBK - Karlstad IBF Ungdom","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"8","Utvisning","15:13","","Sanna Lidbrand Olsson","Filipstad IBK","Period3","Otillåten trängning",2,"Filipstad IBK - Karlstad IBF Ungdom","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"9","Utvisning","03:38","","Felicia Holmberg","IFK Arboga IBK","Period2","Otillåten trängning",2,"IFK Arboga IBK - Sala Silverstaden IBK","Edvin Lindelöf","Carl Wikgren","Edvin Lindelöf, Carl Wikgren"
"10","Utvisning","16:09","","Ebba Olsson","Sala Silverstaden IBK","Period3","Hög klubba",2,"IFK Arboga IBK - Sala Silverstaden IBK","Edvin Lindelöf","Carl Wikgren","Edvin Lindelöf, Carl Wikgren"
"11","Utvisning","07:46","","Josephine Piispanen","Skälby IBK","Period3","Hårt spel 2",2,"Lillån IBK - Skälby IBK","Michael Nilsson","Henrik Zegelsson","Michael Nilsson, Henrik Zegelsson"
"12","Utvisning","10:44","","Signe Wilhelmsson","Lillån IBK","Period3","Slag",2,"Lillån IBK - Skälby IBK","Michael Nilsson","Henrik Zegelsson","Michael Nilsson, Henrik Zegelsson"
"13","Utvisning","13:09","","Ida Pennerborn","Hagfors IF Uddeholm","Period1","Slag",2,"Hagfors IF Uddeholm - Skattkärrs IK","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"14","Utvisning","17:51","","Felicia Nordh","Skattkärrs IK","Period1","Hög klubba",2,"Hagfors IF Uddeholm - Skattkärrs IK","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"15","Utvisning","05:28","","Alva Hagelin","Hagfors IF Uddeholm","Period2","Hårt spel 5",5,"Hagfors IF Uddeholm - Skattkärrs IK","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"16","Utvisning","07:08","","Wilma Ahl","Hagfors IF Uddeholm","Period3","Slag",2,"Hagfors IF Uddeholm - Skattkärrs IK","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"17","Utvisning","08:01","","Alva Hagelin","Hagfors IF Uddeholm","Period3","Låsning av klubba",2,"Hagfors IF Uddeholm - Skattkärrs IK","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"18","Utvisning","18:19","","Angelika Fallquist","Kristinehamns IBF","Period2","Låsning av klubba",2,"Kristinehamns IBF - IBF Örebro Ungdom","Fredrik Knutsson","Micael Svensson","Fredrik Knutsson, Micael Svensson"
"19","Utvisning","02:56","","Wilma Olsson","Kristinehamns IBF","Period3","Upprepade förseelser",2,"Kristinehamns IBF - IBF Örebro Ungdom","Fredrik Knutsson","Micael Svensson","Fredrik Knutsson, Micael Svensson"
