"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","17:06","","Stina Svensson","IBK Tygriket 99","Period1","Otillåten trängning",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"2","Utvisning","04:25","","Hanna Karlsson","IBK Tygriket 99","Period2","Låsning av klubba",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"3","Utvisning","07:37","","Negjimije Beka","Tvåstad KIK","Period2","Hands",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"4","Utvisning","16:33","","Annie Bratt","Tvåstad KIK","Period2","För många spelare på plan",2,"IBK Tygriket 99 - Tvåstad KIK","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"5","Utvisning","12:11","","Madeleine Johansson","Sandareds IBS","Period1","Slag",2,"IBK Lidköping - Sandareds IBS","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"6","Utvisning","13:57","","Maja Rosén","IBK Lidköping","Period3","Slag",2,"IBK Lidköping - Sandareds IBS","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"7","Utvisning","14:34","","Veronica Gottfridsson","IBK Tygriket 99","Period1","Hårt spel 2",2,"Skövde IBF - IBK Tygriket 99","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"8","Utvisning","10:30","","Nathalie Tornell","Mullsjö AIS","Period2","Felaktigt avstånd",2,"Sandareds IBS - Mullsjö AIS","Carl Larsson","Harri Tjäder","Carl Larsson, Harri Tjäder"
"9","Utvisning","16:22","","Madeleine Johansson","Sandareds IBS","Period2","Slag",2,"Sandareds IBS - Mullsjö AIS","Carl Larsson","Harri Tjäder","Carl Larsson, Harri Tjäder"
"10","Utvisning","18:46","","Sara Wickert","Mullsjö AIS","Period2","Felaktigt byte",2,"Sandareds IBS - Mullsjö AIS","Carl Larsson","Harri Tjäder","Carl Larsson, Harri Tjäder"
"11","Utvisning","05:32","","Madeleine Johansson","Sandareds IBS","Period3","Obstruktion",2,"Sandareds IBS - Mullsjö AIS","Carl Larsson","Harri Tjäder","Carl Larsson, Harri Tjäder"
"12","Utvisning","08:54","","Merit Skoghammar","IBK Lidköping","Period3","Slag",2,"Fagerhult Habo IBK - IBK Lidköping","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"13","Utvisning","16:30","","Molly Fröjd","IBK Lidköping","Period3","Felaktigt avstånd",2,"Fagerhult Habo IBK - IBK Lidköping","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"14","Utvisning","16:43","","Jessica Svensson","IBK Alingsås","Period1","Slag",2,"BK Halna - IBK Alingsås","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"15","Utvisning","09:16","","Ida Hemlin","IBK Alingsås","Period2","Otillåten trängning",2,"IBK Alingsås - IBK Tygriket 99","Kenth Lindqvist","Sven Persson","Kenth Lindqvist, Sven Persson"
"16","Utvisning","10:59","","Stina Svensson","IBK Tygriket 99","Period2","Lyftning av klubba",2,"IBK Alingsås - IBK Tygriket 99","Kenth Lindqvist","Sven Persson","Kenth Lindqvist, Sven Persson"
"17","Utvisning","04:52","","Elin Jonsson","IBK Lockerud Mariestad U","Period2","Hårt spel 2",2,"IBK Lidköping - IBK Lockerud Mariestad U","Magnus Jansson","Henrik Sjöberg","Magnus Jansson, Henrik Sjöberg"
"18","Utvisning","19:59","","Sofie Ask","IBK Lockerud Mariestad U","Period2","Hårt spel 2",2,"IBK Lidköping - IBK Lockerud Mariestad U","Magnus Jansson","Henrik Sjöberg","Magnus Jansson, Henrik Sjöberg"
"19","Utvisning","05:13","","Tilda Andersson","IBK Lidköping","Period3","Slag",2,"IBK Lidköping - IBK Lockerud Mariestad U","Magnus Jansson","Henrik Sjöberg","Magnus Jansson, Henrik Sjöberg"
"20","Utvisning","19:29","","Elin Edström","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"IBK Lidköping - IBK Lockerud Mariestad U","Magnus Jansson","Henrik Sjöberg","Magnus Jansson, Henrik Sjöberg"
"21","Utvisning","19:29","","Elin Edström","IBK Lockerud Mariestad U","Period3","Protest mot domslut",2,"IBK Lidköping - IBK Lockerud Mariestad U","Magnus Jansson","Henrik Sjöberg","Magnus Jansson, Henrik Sjöberg"
"22","Utvisning","11:18","","Emillia Kron","Sandareds IBS","Period1","Slag",2,"IBK Alingsås - Sandareds IBS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"23","Utvisning","14:30","","Emelie Liljeström","Sandareds IBS","Period2","Otillåten trängning",2,"IBK Alingsås - Sandareds IBS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"24","Utvisning","16:27","","Olivia Kängström","IBK Alingsås","Period2","Hög klubba",2,"IBK Alingsås - Sandareds IBS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"25","Utvisning","08:57","","Jennifer Andersson","IBK Alingsås","Period3","Fasthållning",2,"IBK Alingsås - Sandareds IBS","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"26","Utvisning","11:01","","Lisa Möller","IBK Alingsås","Period2","Slag",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"27","Utvisning","10:29","","Portia Roos","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"28","Utvisning","13:06","","Olivia Kängström","IBK Alingsås","Period3","Upprepade förseelser",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"29","Utvisning","15:40","","Nora Dalbark-Carlén","IBK Lockerud Mariestad U","Period3","Hårt spel 2",2,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"30","Utvisning","19:37","","Thelma Stålhammar","IBK Lockerud Mariestad U","Period3","Osportsligt uppträdande",12,"IBK Lockerud Mariestad U - IBK Alingsås","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
