"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:58","","Mikaela Svensson","Fröjereds IF","Period2","Upprepade förseelser",2,"Västra Mälardalen IB - Fröjereds IF","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"2","Utvisning","11:58","","Alva Arnqvist","Västra Mälardalen IB","Period2","Slag",2,"Västra Mälardalen IB - Fröjereds IF","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"3","Utvisning","06:54","","Sophia Mangs","Västra Mälardalen IB","Period3","Obstruktion",2,"Västra Mälardalen IB - Fröjereds IF","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"4","Utvisning","18:10","","Clara Svahn","Fröjereds IF","Period3","Slag",2,"Västra Mälardalen IB - Fröjereds IF","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"5","Utvisning","07:43","","Linnéa Lindermyr","Telge SIBK","Period2","Hög klubba",2,"Telge SIBK - Hovslätts IK","Jacob Leijon","Jesper Liedberg","Jacob Leijon, Jesper Liedberg"
"6","Utvisning","14:15","","Lisa Fallberg","Hovslätts IK","Period2","Slag",2,"Telge SIBK - Hovslätts IK","Jacob Leijon","Jesper Liedberg","Jacob Leijon, Jesper Liedberg"
"7","Utvisning","07:05","","Matilda Söderlund","Västerås IBS","Period1","Otillåten trängning",2,"Lindome IBK - Västerås IBS","Robin Boqvist","Stefan Olsson","Robin Boqvist, Stefan Olsson"
"8","Utvisning","18:25","","Anna Sköldberg","Lindome IBK","Period2","Slag",2,"Lindome IBK - Västerås IBS","Robin Boqvist","Stefan Olsson","Robin Boqvist, Stefan Olsson"
"9","Utvisning","10:29","","Clara Olofsson","RIG Umeå IBF","Period1","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"10","Utvisning","12:22","","Alexandra Pettersson","Ersboda SK","Period1","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"11","Utvisning","01:30","","Maja Sund","RIG Umeå IBF","Period2","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"12","Utvisning","05:12","","Nellie Öhgren","RIG Umeå IBF","Period2","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"13","Utvisning","04:11","","Linn Eliasson","Ersboda SK","Period3","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"14","Utvisning","05:28","","Matilda Lindgren","RIG Umeå IBF","Period3","Slag",2,"Ersboda SK - RIG Umeå IBF","Mathias Damgaard","Morgan Poopuu","Mathias Damgaard, Morgan Poopuu"
"15","Utvisning","03:35","","Emma Svensson","Linköping IBK","Period1","För många spelare på plan",2,"Linköping IBK - FBC Kalmarsund","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"16","Utvisning","10:37","","Cornelia Åsberg","Linköping IBK","Period2","Slag",2,"Linköping IBK - FBC Kalmarsund","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"17","Utvisning","04:31","","Ellen Willsund","FBC Kalmarsund","Period3","Protest mot domslut",2,"Linköping IBK - FBC Kalmarsund","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"18","Utvisning","06:35","","Victoria Isaksson","Notvikens IK","Period1","Otillåten trängning",2,"Hudik/Björkberg IBK - Notvikens IK","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"19","Utvisning","09:50","","Fanny Spolander","Notvikens IK","Period1","Slag",2,"Hudik/Björkberg IBK - Notvikens IK","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"20","Utvisning","12:04","","Hanna Sehlberg","Notvikens IK","Period1","Otillåten trängning",2,"Hudik/Björkberg IBK - Notvikens IK","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"21","Utvisning","15:35","","Melina Sundström","Hudik/Björkberg IBK","Period1","Fasthållning",2,"Hudik/Björkberg IBK - Notvikens IK","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"22","Utvisning","11:58","","Anna Lindell","IBK Lund Elit","Period1","Hårt spel 2",2,"IBK Lund Elit - Hovslätts IK","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"23","Utvisning","19:59","","Emma Svensson","Hovslätts IK","Period1","Otillåten trängning",2,"IBK Lund Elit - Hovslätts IK","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"24","Utvisning","12:35","","Anna Lindell","IBK Lund Elit","Period3","Slag",2,"IBK Lund Elit - Hovslätts IK","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"25","Utvisning","18:37","","Minna Karlsson","IBK Lund Elit","Period3","Låsning av klubba",2,"IBK Lund Elit - Hovslätts IK","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"26","Utvisning","05:55","","Emmy Lindgren","Team Kalix IBK","Period1","Slag",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"27","Utvisning","12:17","","Amilia Sjöström","Sundsvalls IBF","Period2","Otillåten trängning",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"28","Utvisning","02:54","","Nathalie Johansson","Team Kalix IBK","Period3","Otillåten trängning",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"29","Utvisning","05:11","","Miranda Englund","Sundsvalls IBF","Period3","Obstruktion",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"30","Utvisning","13:47","","Lina Hägg","Sundsvalls IBF","Period3","Slag",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"31","Utvisning","16:18","","Linda Landström","Team Kalix IBK","Period3","Slag",2,"Sundsvalls IBF - Team Kalix IBK","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"32","Utvisning","19:30","","Jennifer Johansson","Fröjereds IF","Period1","Slag",2,"Lindås Rasta IBK - Fröjereds IF","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"33","Utvisning","08:47","","Ellen Norrfjärd ","Lindås Rasta IBK","Period2","Slag",2,"Lindås Rasta IBK - Fröjereds IF","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"34","Utvisning","15:41","","Alicia Lillerskog","Fröjereds IF","Period3","Slag",2,"Lindås Rasta IBK - Fröjereds IF","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"35","Utvisning","14:23","","Emilia Jonsson","IKSU Ungdom","Period2","Slag",2,"IBF Dalen - IKSU Ungdom","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"36","Utvisning","16:36","","Alexandra Güzel","IBF Dalen","Period2","Otillåten trängning",2,"IBF Dalen - IKSU Ungdom","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"37","Utvisning","17:15","","Jennifer Nygren","IBF Dalen","Period2","Fördröjande av spelet",2,"IBF Dalen - IKSU Ungdom","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"38","Utvisning","01:17","","Nellie Karlsson","FBC Kalmarsund","Period1","Otillåten trängning",2,"Lindome IBK - FBC Kalmarsund","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"39","Utvisning","10:17","","Jenny Abrahamsson","Lindome IBK","Period2","Slag",2,"Lindome IBK - FBC Kalmarsund","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"40","Utvisning","07:59","","Vendela Svarén","Lindome IBK","Period3","Slag",2,"Lindome IBK - FBC Kalmarsund","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"41","Utvisning","00:00","","Alice Selin","Ersboda SK","Period1","Fördröjande av spelet",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"42","Utvisning","00:00","","Alice Selin","Ersboda SK","Period1","Upprepade förseelser",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"43","Utvisning","00:00","","Sofia Adolfsson","Älvsjö AIK IBF","Period1","Slag",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"44","Utvisning","00:00","","Julia Persson","Ersboda SK","Period1","Liggande spel",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"45","Utvisning","00:00","","Frida Hallqvist ","Älvsjö AIK IBF","Period1","Slag",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"46","Utvisning","00:00","","Ebba Johansson","Älvsjö AIK IBF","Period3","Obstruktion",2,"Ersboda SK - Älvsjö AIK IBF","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"47","Utvisning","13:04","","Emelie Eliasson","Team Kalix IBK","Period1","Fördröjande av spelet",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"48","Utvisning","17:07","","Nathalie Johansson","Team Kalix IBK","Period1","Otillåten trängning",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"49","Utvisning","17:48","","Sofia Enerstad","Bele Barkarby IF IBF","Period1","Slag",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"50","Utvisning","11:14","","Emma Andersson","Team Kalix IBK","Period2","Slag",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"51","Utvisning","15:51","","Evelina Nilsson","Team Kalix IBK","Period2","Otillåten trängning",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"52","Utvisning","06:16","","Evelina Nilsson","Team Kalix IBK","Period3","Slag",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"53","Utvisning","09:31","","Fanny Lindgren","Team Kalix IBK","Period3","Slag",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"54","Utvisning","14:49","","Rebecka Jansson","Bele Barkarby IF IBF","Period3","Slag",2,"Team Kalix IBK - Bele Barkarby IF IBF","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"55","Utvisning","04:45","","Emma Hellberg","IBF Dalen","Period4","Slag",2,"Hammarby IF IBF - IBF Dalen","Anders Asp","Per Rosén","Anders Asp, Per Rosén"
"56","Utvisning","15:13","","Maja Bergbom","Nacka Wallenstam IBK","Period2","Låsning av klubba",2,"Notvikens IK - Nacka Wallenstam IBK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
