"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1",1,"Utvisning","06:03",NA,"Linnéa Nilsson","Ersboda SK","Period2","Slag",2,"Ersboda SK - Gullänget-Kroksta IBS","Tony Cederholm","Peter Saari","Tony Cederholm, Peter Saari"
"2",2,"Utvisning","03:07",NA,"Karolina Edin","Ersboda SK","Period3","För många spelare på plan",2,"Ersboda SK - Gullänget-Kroksta IBS","Tony Cederholm","Peter Saari","Tony Cederholm, Peter Saari"
"3",3,"Utvisning","00:55",NA,"Wilma Sjöner","Röbäcks IF","Period2","För många spelare på plan",2,"Röbäcks IF - Kågedalens AIF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"4",4,"Utvisning","10:36",NA,"Amanda Nilsson","Kågedalens AIF","Period2","Slag",2,"Röbäcks IF - Kågedalens AIF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"5",5,"Utvisning","12:18",NA,"Jonna Lönn","Röbäcks IF","Period2","Slag",2,"Röbäcks IF - Kågedalens AIF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"6",6,"Utvisning","14:41",NA,"Emma Åström","Röbäcks IF","Period3","Slag",2,"Röbäcks IF - Kågedalens AIF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"7",7,"Utvisning","15:22",NA,"Vanessa Hedström","Skellefteå IBK","Period3","Slag",2,"Sävar IK - Skellefteå IBK","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"8",8,"Utvisning","13:20",NA,"Jonna Lönn","Röbäcks IF","Period3","Otillåten trängning",2,"Spöland Vännäs IF - Röbäcks IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"9",9,"Utvisning","13:02",NA,"Wilma Kröger","Gimonäs Umeå IF","Period1","Felaktigt avstånd",2,"Ersboda SK - Gimonäs Umeå IF","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"10",10,"Utvisning","16:25",NA,"Louise Ramebäck","Gimonäs Umeå IF","Period3","Hårt spel 2",2,"Ersboda SK - Gimonäs Umeå IF","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"11",11,"Utvisning","11:01",NA,"Vanja Östman","Gullänget-Kroksta IBS","Period2","Otillåten trängning",2,"Gullänget-Kroksta IBS - Sävar IK","Henrik Johansson","Göran Norberg","Henrik Johansson, Göran Norberg"
"12",12,"Utvisning","16:04",NA,"Vanja Östman","Gullänget-Kroksta IBS","Period2","Liggande spel",2,"Gullänget-Kroksta IBS - Sävar IK","Henrik Johansson","Göran Norberg","Henrik Johansson, Göran Norberg"
"13",13,"Utvisning","00:57",NA,"Wilma Bäcklund","Kågedalens AIF","Period3","Låsning av klubba",2,"Kågedalens AIF - Sandåkerns SK","Daniel Degerman","Jörgen Lundberg","Daniel Degerman, Jörgen Lundberg"
"14",14,"Utvisning","04:21",NA,"Maja Hedström","Gimonäs Umeå IF","Period1","Otillåten trängning",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"15",15,"Utvisning","04:34",NA,"Liv Falk","Ersboda SK","Period1","Hands",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"16",16,"Utvisning","08:46",NA,"Veronica Boman","Ersboda SK","Period2","Slag",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"17",17,"Utvisning","12:35",NA,"Maja Hedström","Gimonäs Umeå IF","Period2","Hög klubba",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"18",18,"Utvisning","15:39",NA,"Veronica Boman","Ersboda SK","Period2","Otillåten trängning",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"19",19,"Utvisning","00:15",NA,"Veronica Boman","Ersboda SK","Period3","Hands",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"20",20,"Utvisning","15:19",NA,"Julia Nyberg","Ersboda SK","Period3","Farligt spel",5,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"21",21,"Utvisning","19:34",NA,"Liv Falk","Ersboda SK","Period3","Låsning av klubba",2,"Gimonäs Umeå IF - Ersboda SK","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"22",22,"Utvisning","07:18",NA,"Moa Pettersson","Gullänget-Kroksta IBS","Period2","Slag",2,"Sävar IK - Gullänget-Kroksta IBS","Manuel Garzon","Daniel Johannesson","Manuel Garzon, Daniel Johannesson"
"23",23,"Utvisning","11:18",NA,"","","Period2","Låsning av klubba",2,"Sävar IK - Gullänget-Kroksta IBS","Manuel Garzon","Daniel Johannesson","Manuel Garzon, Daniel Johannesson"
"24",24,"Utvisning","04:33",NA,"Kajsa Wallin","Gullänget-Kroksta IBS","Period3","Slag",2,"Sävar IK - Gullänget-Kroksta IBS","Manuel Garzon","Daniel Johannesson","Manuel Garzon, Daniel Johannesson"
"25",25,"Utvisning","19:14",NA,"Ronja Edlund","Gullänget-Kroksta IBS","Period3","Otillåten trängning",2,"Sävar IK - Gullänget-Kroksta IBS","Manuel Garzon","Daniel Johannesson","Manuel Garzon, Daniel Johannesson"
"26",26,"Utvisning","03:58",NA,"Nelly Saari","Spöland Vännäs IF","Period3","Otillåten trängning",2,"Röbäcks IF - Spöland Vännäs IF","Manuel Garzon","Thanasis Provatas","Manuel Garzon, Thanasis Provatas"
"27",27,"Utvisning","00:15",NA,"Sanna Holmström","Skellefteå IBK","Period1","Otillåten trängning",2,"Örnsköldsvik IBF - Skellefteå IBK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"28",28,"Utvisning","11:58",NA,"Maja Sköldh","Örnsköldsvik IBF","Period1","Fasthållning",2,"Örnsköldsvik IBF - Skellefteå IBK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"29",29,"Utvisning","05:49",NA,"Malin Lundqvist","Skellefteå IBK","Period2","Straff pga betr av målvaktsområde",2,"Örnsköldsvik IBF - Skellefteå IBK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
