"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","09:19","","Selma Wikberg","Kågedalens AIF","Period3","För många spelare på plan",2,"Gamla Stan IBK - Kågedalens AIF","Per Andersson","Joakim Broman","Per Andersson, Joakim Broman"
"2","Utvisning","05:21","","Elin Fahlgren","Bureå Idrottsförening","Period3","Slag",2,"Bureå Idrottsförening - Holmsund City IBC","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"3","Utvisning","18:29","","Amanda Brännström","Bureå Idrottsförening","Period3","Slag",2,"Bureå Idrottsförening - Holmsund City IBC","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"4","Utvisning","14:36","","Wilma Selin","Jäbo IK","Period2","Hårt spel 2",2,"Jäbo IK - Skellefteå IBK /RIF","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"5","Utvisning","15:12","","Maja Älmeros","Skellefteå IBK /RIF","Period3","Låsning av klubba",2,"Jäbo IK - Skellefteå IBK /RIF","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"6","Utvisning","13:34","","Nea Englund-Jonsson","Kågedalens AIF","Period1","För många spelare på plan",2,"Sävar IK/Täfteå IK - Kågedalens AIF","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"7","Utvisning","16:24","","Kajsa Lundmark","Kågedalens AIF","Period1","Lyftning av klubba",2,"Sävar IK/Täfteå IK - Kågedalens AIF","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"8","Utvisning","16:59","","Wilma Brande","Sävar IK/Täfteå IK","Period1","Felaktigt avstånd",2,"Sävar IK/Täfteå IK - Kågedalens AIF","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"9","Utvisning","09:58","","Thea Markström","Bureå Idrottsförening","Period1","Otillåten trängning",2,"Bureå Idrottsförening - Gimonäs Umeå IF /F04","Per Andersson","Joakim Broman","Per Andersson, Joakim Broman"
"10","Utvisning","03:16","","Felicia Svanberg Häggström","Umeå City IBF","Period2","Slag",2,"Umeå City IBF - Gamla Stan IBK","Kim Fallbjörk","David Karlsson","Kim Fallbjörk, David Karlsson"
"11","Utvisning","18:45","","Thea Malmström","Gamla Stan IBK","Period2","Otillåten trängning",2,"Umeå City IBF - Gamla Stan IBK","Kim Fallbjörk","David Karlsson","Kim Fallbjörk, David Karlsson"
"12","Utvisning","17:23","","Emmy Frisk","Umeå City IBF","Period3","Slag",2,"Umeå City IBF - Gamla Stan IBK","Kim Fallbjörk","David Karlsson","Kim Fallbjörk, David Karlsson"
"13","Utvisning","04:25","","Victoria Wilhelmsson-Andersson","Röbäcks IF","Period2","Otillåten trängning",2,"Röbäcks IF - Gullänget-Kroksta IBS","Christoffer Lind","Alvina Mukkala","Christoffer Lind, Alvina Mukkala"
"14","Utvisning","05:30","","Sofia Nygren","Gullänget-Kroksta IBS","Period3","Slag",2,"Röbäcks IF - Gullänget-Kroksta IBS","Christoffer Lind","Alvina Mukkala","Christoffer Lind, Alvina Mukkala"
"15","Utvisning","14:21","","Linnéa Bäckström","Röbäcks IF","Period3","Felaktigt avstånd",2,"Röbäcks IF - Gullänget-Kroksta IBS","Christoffer Lind","Alvina Mukkala","Christoffer Lind, Alvina Mukkala"
"16","Utvisning","13:41","","Emmy Frisk","Umeå City IBF","Period2","Hårt spel 2",2,"Team Thorengruppen/Röbäcks IF - Umeå City IBF","Lydia Elstig","Sanna Åslin","Lydia Elstig, Sanna Åslin"
