"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1",1,"Utvisning","16:24",NA,"Ida Eriksson","Örnsköldsvik IBK /IBF","Period1","För många spelare på plan",2,"Örnsköldsvik IBK /IBF - Gimonäs Umeå IF","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"2",2,"Utvisning","18:45",NA,"Madeleine Johansson","Örnsköldsvik IBK /IBF","Period2","Hands",2,"Örnsköldsvik IBK /IBF - Gimonäs Umeå IF","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"3",3,"Utvisning","11:24",NA,"Hannah Gidlund","Örnsköldsvik IBK /IBF","Period3","Spel utan klubba",2,"Örnsköldsvik IBK /IBF - Gimonäs Umeå IF","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"4",4,"Utvisning","13:51",NA,"Sandra Eriksson","Vindelns IF","Period2","Slag",2,"Holmsund City IBC/GUIF - Vindelns IF","Manuel Garzon","Klas Höglund","Manuel Garzon, Klas Höglund"
"5",5,"Utvisning","08:27",NA,"Hanna Sundström","Holmsund City IBC/GUIF","Period3","Slag",2,"Holmsund City IBC/GUIF - Vindelns IF","Manuel Garzon","Klas Höglund","Manuel Garzon, Klas Höglund"
"6",6,"Utvisning","13:45",NA,"Liv Östling","Holmsund City IBC/GUIF","Period3","Otillåten trängning",2,"Holmsund City IBC/GUIF - Vindelns IF","Manuel Garzon","Klas Höglund","Manuel Garzon, Klas Höglund"
"7",7,"Utvisning","15:26",NA,"Hanna Sundström","Holmsund City IBC/GUIF","Period3","Fördröjande av spelet",2,"Holmsund City IBC/GUIF - Vindelns IF","Manuel Garzon","Klas Höglund","Manuel Garzon, Klas Höglund"
"8",8,"Utvisning","16:28",NA,"Miriam Hellberg","Clemensnäs IF /Bureå IF","Period2","Hårt spel 2",2,"Kågedalens AIF - Clemensnäs IF /Bureå IF","Joakim Broman","Samuel Sundqvist","Joakim Broman, Samuel Sundqvist"
"9",9,"Utvisning","03:31",NA,"Nova Svanborg","Kågedalens AIF","Period3","Otillåten trängning",2,"Kågedalens AIF - Clemensnäs IF /Bureå IF","Joakim Broman","Samuel Sundqvist","Joakim Broman, Samuel Sundqvist"
"10",10,"Utvisning","03:15",NA,"Elsa Bergström","Röbäcks IF","Period2","Otillåten trängning",2,"Röbäcks IF - Täfteå IK /Sävar IK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"11",11,"Utvisning","15:36",NA,"Alma Sköld","Röbäcks IF","Period2","Slag",2,"Röbäcks IF - Täfteå IK /Sävar IK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"12",12,"Utvisning","14:52",NA,"Monica Jusu Bah","Umeå City IBF","Period3","Protest mot domslut",2,"Umeå City IBF - Gamla Stan IBK","Alvin Gustavsson","Elias Norden","Alvin Gustavsson, Elias Norden"
"13",13,"Utvisning","00:10",NA,"Alva Granqvist","Spöland Vännäs IF","Period2","Låsning av klubba",2,"Obbola IK - Spöland Vännäs IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"14",14,"Utvisning","10:12",NA,"Nelly Saari","Spöland Vännäs IF","Period3","Obstruktion",2,"Obbola IK - Spöland Vännäs IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"15",15,"Utvisning","16:47",NA,"Tyra Andersson","Gimonäs Umeå IF","Period1","Felaktigt avstånd",2,"Kågedalens AIF - Gimonäs Umeå IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"16",16,"Utvisning","19:37",NA,"Kajsa Lundmark","Kågedalens AIF","Period1","Hårt spel 2",2,"Kågedalens AIF - Gimonäs Umeå IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
