"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","11:33","","Viktor Glaerum","Onsala IBK","Period1","Lyftning av klubba",2,"Onsala IBK - Veddige IBK","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"2","Utvisning","02:49","","Marcus Löfwander","Onsala IBK","Period3","Slag",2,"Onsala IBK - Veddige IBK","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"3","Utvisning","14:26","","Noah Eliasson","Onsala IBK","Period3","Slag",2,"Onsala IBK - Veddige IBK","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"4","Utvisning","03:09","","Rasmus Sillrén","Särö IBK","Period1","Slag",2,"Särö IBK - Vinbergs IBS","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"5","Utvisning","19:27","","Fredrik Örn","Särö IBK","Period2","Fördröjande av spelet",2,"Särö IBK - Vinbergs IBS","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"6","Utvisning","11:00","","Mathias Gunneklint","Särö IBK","Period3","Slag",2,"Särö IBK - Vinbergs IBS","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"7","Utvisning","18:36","","Daniel Gripestam","Falkenbergs IBK","Period1","Hårt spel 2",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"8","Utvisning","02:54","","Santipong Sukkasem","Falkenbergs IBK","Period2","Otillåten trängning",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"9","Utvisning","12:13","","Jesper Larsson","Falkenbergs IBK","Period2","Hårt spel 2",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"10","Utvisning","19:40","","Daniel Hinks","Träslövsläge IF","Period2","Slag",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"11","Utvisning","09:13","","Markus Pettersson","Falkenbergs IBK","Period3","Protest mot domslut",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"12","Utvisning","15:45","","Jesper Larsson","Falkenbergs IBK","Period3","Slag",2,"Falkenbergs IBK - Träslövsläge IF","Eino Kozan","Christoffer Söderström","Eino Kozan, Christoffer Söderström"
"13","Utvisning","12:13","","Mathias Gunneklint","Särö IBK","Period2","Protest mot domslut",2,"Särö IBK - Warberg IBF","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"14","Utvisning","10:21","","Patrik Wemenas","Särö IBK","Period3","Liggande spel",2,"Särö IBK - Warberg IBF","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"15","Utvisning","05:21","","Robin Nyhemer","Vinbergs IBS","Period1","Hårt spel 2",2,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"16","Utvisning","17:05","","Anton Arvidsson","Veddige IBK","Period1","Obstruktion",2,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"17","Utvisning","05:41","","Leo Thoren","Veddige IBK","Period2","Hög klubba",2,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"18","Utvisning","17:49","","Elias Eirefelt","Vinbergs IBS","Period2","Otillåten trängning",2,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"19","Utvisning","08:25","","Emil Arnoldsson","Vinbergs IBS","Period3","Hårt spel 5",5,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"20","Utvisning","14:17","","Albin Johansson","Veddige IBK","Period3","Obstruktion",2,"Vinbergs IBS - Veddige IBK","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"21","Utvisning","04:11","","Petri Apelvi","Sandö IBK","Period1","Slag",2,"Sandö IBK - Onsala IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"22","Utvisning","07:23","","Elias Fogelblad","Onsala IBK","Period1","Slag",2,"Sandö IBK - Onsala IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"23","Utvisning","11:43","","Anton Iserö","Sandö IBK","Period1","Otillåten trängning",2,"Sandö IBK - Onsala IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"24","Utvisning","15:42","","William Lundell","Onsala IBK","Period1","Upprepade förseelser",2,"Sandö IBK - Onsala IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"25","Utvisning","02:49","","Max Åkerström","Sandö IBK","Period3","Slag",2,"Sandö IBK - Onsala IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"26","Utvisning","07:40","","Gustaf Zimmerman","Träslövsläge IF","Period2","Obstruktion",2,"Onsala IBK - Träslövsläge IF","Mats Andersson","Daniel Hultberg","Mats Andersson, Daniel Hultberg"
"27","Utvisning","16:39","","Isac Gavik","Träslövsläge IF","Period2","Fasthållning",2,"Onsala IBK - Träslövsläge IF","Mats Andersson","Daniel Hultberg","Mats Andersson, Daniel Hultberg"
"28","Utvisning","09:39","","Pontus Eliasson","Träslövsläge IF","Period3","Obstruktion",2,"Onsala IBK - Träslövsläge IF","Mats Andersson","Daniel Hultberg","Mats Andersson, Daniel Hultberg"
"29","Utvisning","10:48","","Elliot Björn","Warberg IBF","Period1","Fördröjande av spelet",2,"Träslövsläge IF - Warberg IBF","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"30","Utvisning","07:38","","Daniel Gunnarsson","Träslövsläge IF","Period2","Hårt spel 2",2,"Träslövsläge IF - Warberg IBF","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"31","Utvisning","19:41","","Christoffer Lindberg","Warberg IBF","Period2","Slag",2,"Träslövsläge IF - Warberg IBF","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"32","Utvisning","16:57","","Jonathan Johansson","Falkenbergs IBK","Period1","Obstruktion",2,"Falkenbergs IBK - Vinbergs IBS","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"33","Utvisning","02:50","","Theo Johnsson","Falkenbergs IBK","Period3","Slag",2,"Falkenbergs IBK - Vinbergs IBS","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"34","Utvisning","17:54","","Jacob Gunnarsson","Falkenbergs IBK","Period3","Hårt spel 2",2,"Falkenbergs IBK - Vinbergs IBS","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"35","Utvisning","15:11","","Kalle Carpenter","Onsala IBK","Period1","Slag",2,"Onsala IBK - Särö IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"36","Utvisning","05:27","","Kalle Carpenter","Onsala IBK","Period2","Hårt spel 2",2,"Onsala IBK - Särö IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"37","Utvisning","07:17","","Marcus Löfwander","Onsala IBK","Period2","Hårt spel 5",5,"Onsala IBK - Särö IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
