"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","15:13","","Johan Pantzare","Pajala IF H2","Period1","Slag",2,"IBK Luleå H2 - Pajala IF H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"2","Utvisning","20:00","","tim eriksson","Pajala IF H2","Period1","Slag",2,"IBK Luleå H2 - Pajala IF H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"3","Utvisning","03:06","","Neo Munter","IBK Luleå H2","Period3","Slag",2,"IBK Luleå H2 - Pajala IF H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"4","Utvisning","19:55","","Sebastian Engman","IBK Luleå H2","Period3","Slag",2,"IBK Luleå H2 - Pajala IF H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"5","Utvisning","13:42","","Jonas Nutti","Kiruna AIF H2","Period1","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"6","Utvisning","13:42","","Samuel Lärkmo","Kiruna AIF H2","Period1","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"7","Utvisning","17:56","","Robert Andersson","Sunderby SK H2","Period1","Slag",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"8","Utvisning","07:35","","Petrus Siikavupio","Kiruna AIF H2","Period2","Obstruktion",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"9","Utvisning","08:16","","Joakim Karlsson","Sunderby SK H2","Period2","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"10","Utvisning","09:05","","Samuel Lärkmo","Kiruna AIF H2","Period2","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"11","Utvisning","09:05","","Samuel Lärkmo","Kiruna AIF H2","Period2","Protest mot domslut",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"12","Utvisning","10:05","","Anton Lindström","Sunderby SK H2","Period2","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"13","Utvisning","14:25","","Petrus Siikavupio","Kiruna AIF H2","Period2","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"14","Utvisning","01:58","","Alexander Stenman","Sunderby SK H2","Period3","Slag",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"15","Utvisning","03:36","","Andreas Mämmi","Kiruna AIF H2","Period3","Hårt spel 5",5,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"16","Utvisning","04:14","","Jonas Nutti","Kiruna AIF H2","Period3","Otillåten trängning",2,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"17","Utvisning","08:33","","Jonas Nutti","Kiruna AIF H2","Period3","Matchstraff 3",20,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"18","Utvisning","08:33","","Robert Andersson","Sunderby SK H2","Period3","Matchstraff 1",20,"Kiruna AIF H2 - Sunderby SK H2","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
