"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","15:08","","Philip Meyrold","Linköping Legends FBC","Period2","Otillåten trängning",2,"Linköping Legends FBC - Söderköpings IBK","Thomas Nystrand","Peter Ström","Thomas Nystrand, Peter Ström"
"2","Utvisning","14:54","","Patrik Carlsson","Söderköpings IBK","Period2","Upprepade förseelser",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"3","Utvisning","16:50","","William Skarin","Söderköpings IBK","Period2","Obstruktion",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"4","Utvisning","19:10","","William Skarin","Söderköpings IBK","Period2","Obstruktion",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"5","Utvisning","07:44","","Adam von Below","Söderköpings IBK","Period3","Hårt spel 2",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"6","Utvisning","15:36","","Markus von Below","Söderköpings IBK","Period3","Hårt spel 2",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"7","Utvisning","18:56","","Joacim Bonnevier","Söderköpings IBK","Period3","Obstruktion",2,"Bergs IK - Söderköpings IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"8","Utvisning","08:02","","Edvin Schölin","Finspång IBK","Period1","Hands",2,"Rimforsa IF - Finspång IBK","Thomas Nystrand","Rickard Olsen","Thomas Nystrand, Rickard Olsen"
"9","Utvisning","10:50","","Marcus Persson","Finspång IBK","Period1","Felaktigt avstånd",2,"Rimforsa IF - Finspång IBK","Thomas Nystrand","Rickard Olsen","Thomas Nystrand, Rickard Olsen"
"10","Utvisning","15:48","","Filip Cammerudh","Rimforsa IF","Period2","Hands",2,"Rimforsa IF - Finspång IBK","Thomas Nystrand","Rickard Olsen","Thomas Nystrand, Rickard Olsen"
"11","Utvisning","16:47","","Sebastian Håkansson","IBF Norrköping","Period2","Slag",2,"IBK Succé - IBF Norrköping","Emil Glenngård","Johan Wiggur","Emil Glenngård, Johan Wiggur"
"12","Utvisning","07:41","","Toni Marhosevic","IBK Succé","Period3","Upprepade förseelser",2,"IBK Succé - IBF Norrköping","Emil Glenngård","Johan Wiggur","Emil Glenngård, Johan Wiggur"
"13","Utvisning","17:31","","Rikard Fransson","IBK Succé","Period3","Liggande spel",2,"IBK Succé - IBF Norrköping","Emil Glenngård","Johan Wiggur","Emil Glenngård, Johan Wiggur"
"14","Utvisning","18:47","","Tobias Johansson","Linköping IBK Ungdom","Period2","Lyftning av klubba",2,"KFUM Norrköping IBF - Linköping IBK Ungdom","Tom Nilsson","Sonny Weideborg","Tom Nilsson, Sonny Weideborg"
"15","Utvisning","06:39","","Ludwig Bernholtz","Linköping IBK Ungdom","Period3","Liggande spel",2,"KFUM Norrköping IBF - Linköping IBK Ungdom","Tom Nilsson","Sonny Weideborg","Tom Nilsson, Sonny Weideborg"
"16","Utvisning","11:44","","Andreas Karlsson","KFUM Norrköping IBF","Period3","Slag",2,"KFUM Norrköping IBF - Linköping IBK Ungdom","Tom Nilsson","Sonny Weideborg","Tom Nilsson, Sonny Weideborg"
"17","Utvisning","00:40","","Joacim Risberg","Solfjäderstaden IBK","Period1","Slag",2,"Solfjäderstaden IBK - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"18","Utvisning","07:36","","Per Antonsson","Linköpings Universitets AIF IBK","Period2","Obstruktion",2,"Solfjäderstaden IBK - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"19","Utvisning","13:36","","Erik Dahlqvist","Linköpings Universitets AIF IBK","Period2","Otillåten trängning",2,"Solfjäderstaden IBK - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"20","Utvisning","03:13","","Andreas Fredriksson","Linköping Legends FBC","Period2","Hands",2,"Linköping Legends FBC - Linköping IBK Ungdom","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
"21","Utvisning","16:55","","Charlie Jareblad","Linköping Legends FBC","Period2","Hårt spel 2",2,"Linköping Legends FBC - Linköping IBK Ungdom","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
