"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","12:56","","Jimmy Nordin","Palmstaden IK H2","Period2","Upprepade förseelser",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"2","Utvisning","16:28","","Andie Fleuron","IBK Landskrona H2","Period2","Upprepade förseelser",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"3","Utvisning","04:25","","Alexander Azelius","IBK Landskrona H2","Period3","Otillåten trängning",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"4","Utvisning","09:28","","Marcus Schüler","Palmstaden IK H2","Period3","Osportsligt uppträdande",12,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"5","Utvisning","19:55","","Andie Fleuron","IBK Landskrona H2","Period3","Hårt spel 2",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"6","Utvisning","19:55","","Oscar Miller","Palmstaden IK H2","Period3","Hårt spel 2",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"7","Utvisning","19:55","","Simon Strömberg","Palmstaden IK H2","Period3","Protest mot domslut",2,"IBK Landskrona H2 - Palmstaden IK H2","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"8","Utvisning","03:46","","Sebastian Olofsson","Åstorp/Kvidinge IBS H2","Period3","Slag",2,"Åstorp/Kvidinge IBS H2 - Lomma FBC H2","Björn Grahn","Jürgen Neuenhofen","Björn Grahn, Jürgen Neuenhofen"
"9","Utvisning","04:08","","Mattias Thorén","Lomma FBC H2","Period3","Hårt spel 2",2,"Åstorp/Kvidinge IBS H2 - Lomma FBC H2","Björn Grahn","Jürgen Neuenhofen","Björn Grahn, Jürgen Neuenhofen"
"10","Utvisning","17:20","","Hannes Burén","FBC Engelholm H2","Period1","Protest mot domslut",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"11","Utvisning","00:27","","Philip Holmqvist","Munka Ljungby IBK Akademi","Period3","Fördröjande av spelet",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"12","Utvisning","12:23","","Bille Melin","Munka Ljungby IBK Akademi","Period3","Hårt spel 2",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"13","Utvisning","12:23","","Hannes Burén","FBC Engelholm H2","Period3","Hårt spel 2",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"14","Utvisning","18:39","","Gustaf Starbrant","FBC Engelholm H2","Period3","Låsning av klubba",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"15","Utvisning","19:05","","Gustav Ljunggren","Munka Ljungby IBK Akademi","Period3","Otillåten trängning",2,"FBC Engelholm H2 - Munka Ljungby IBK Akademi","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"16","Utvisning","09:02","","Andie Fleuron","IBK Landskrona H2","Period1","Lyftning av klubba",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"17","Utvisning","13:28","","Ludwig Lehrecke","IBK Landskrona H2","Period1","Slag",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"18","Utvisning","18:58","","Edmond Kolgjini","IBS Svedala H2","Period1","Fasthållning",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"19","Utvisning","06:48","","Ludvig Henriksson","IBS Svedala H2","Period2","Hårt spel 2",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"20","Utvisning","13:22","","Joakim Hermodsson","IBS Svedala H2","Period2","Slag",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"21","Utvisning","18:29","","Marcus Wikström","IBK Landskrona H2","Period2","Otillåten trängning",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"22","Utvisning","19:37","","Joakim Hermodsson","IBS Svedala H2","Period2","Fasthållning",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"23","Utvisning","19:48","","Johan Bertilsson","IBS Svedala H2","Period3","Osportsligt uppträdande",12,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"24","Utvisning","19:48","","Johan Bertilsson","IBS Svedala H2","Period3","Slag",2,"IBK Landskrona H2 - IBS Svedala H2","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"25","Utvisning","14:59","","Oscar Miller","Palmstaden IK H2","Period2","Slag",2,"Palmstaden IK H2 - Willands IBK H2","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"26","Utvisning","06:12","","Marcus Nilsson","Palmstaden IK H2","Period3","Slag",2,"Palmstaden IK H2 - Willands IBK H2","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"27","Utvisning","08:29","","Jimmy Rooth","Willands IBK H2","Period3","Protest mot domslut",2,"Palmstaden IK H2 - Willands IBK H2","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"28","Utvisning","14:10","","Erik Samuelsson","IBK Höllviken H2","Period2","Låsning av klubba",2,"Lönsboda IBK - IBK Höllviken H2","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"29","Utvisning","10:21","","Lukas Björkheim","Lönsboda IBK","Period3","Upprepade förseelser",2,"Lönsboda IBK - IBK Höllviken H2","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"30","Utvisning","10:33","","Alfred Svensson","Lönsboda IBK","Period3","Otillåten trängning",2,"Lönsboda IBK - IBK Höllviken H2","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"31","Utvisning","01:20","","Mikael Kihlberg ","Bjärreds IBK H2","Period1","Upprepade förseelser",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"32","Utvisning","16:31","","Sten-Åke Åkesson","Bjärreds IBK H2","Period1","Liggande spel",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"33","Utvisning","00:34","","Henrik Norrman","Bjärreds IBK H2","Period2","Slag",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"34","Utvisning","04:45","","Mikael Kihlberg ","Bjärreds IBK H2","Period2","Hårt spel 2",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"35","Utvisning","02:15","","Noel Wensmark","FBC Helsingborg","Period3","Otillåten trängning",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"36","Utvisning","18:21","","Tim Axelsson","Bjärreds IBK H2","Period3","Slag",2,"Bjärreds IBK H2 - FBC Helsingborg","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"37","Utvisning","09:48","","Philip Mattsson","IBK Landskrona H2","Period1","Slag",2,"FBC Helsingborg - IBK Landskrona H2","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
"38","Utvisning","13:04","","Alexander Azelius","IBK Landskrona H2","Period1","Låsning av klubba",2,"FBC Helsingborg - IBK Landskrona H2","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
"39","Utvisning","06:23","","Alexis Borén","FBC Helsingborg","Period2","Slag",2,"FBC Helsingborg - IBK Landskrona H2","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
