"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","14:22","","Simon Ström","Ekbackskyrkans IBK","Period2","Upprepade förseelser",2,"Nykvarns IF - Ekbackskyrkans IBK","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"2","Utvisning","18:39","","Emil Yngerfors","Nykvarns IF","Period2","Slag",2,"Nykvarns IF - Ekbackskyrkans IBK","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"3","Utvisning","14:05","","Jacob Landbergsson","Nykvarns IF","Period3","Otillåten trängning",2,"Nykvarns IF - Ekbackskyrkans IBK","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"4","Utvisning","16:07","","Edward Ceder","Nykvarns IF","Period3","För många spelare på plan",2,"Nykvarns IF - Ekbackskyrkans IBK","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"5","Utvisning","15:57","","Martin Cederin","Onyx IBS","Period1","Upprepade förseelser",2,"Nykvarns IF - Onyx IBS","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"6","Utvisning","11:54","","Leo Åhamn","Onyx IBS","Period2","Slag",2,"Nykvarns IF - Onyx IBS","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"7","Utvisning","17:56","","Oliver Mattsson","Nykvarns IF","Period2","Felaktigt avstånd",2,"Nykvarns IF - Onyx IBS","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"8","Utvisning","09:19","","Oliver Mattsson","Nykvarns IF","Period3","Protest mot domslut",2,"Nykvarns IF - Onyx IBS","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"9","Utvisning","07:40","","Gustaf Winterros Malmsten","Katrineholms IBF","Period1","Protest mot domslut",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"10","Utvisning","09:33","","Andreas Fredriksson","Ekbackskyrkans IBK","Period1","Hårt spel 2",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"11","Utvisning","14:17","","Marcus Zingmark","Ekbackskyrkans IBK","Period1","Våldsamt slag",5,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"12","Utvisning","18:04","","August Härnström","Katrineholms IBF","Period1","Hårt spel 2",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"13","Utvisning","04:17","","Niklas Grindberg","Ekbackskyrkans IBK","Period2","Otillåten trängning",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"14","Utvisning","08:57","","Jacob Milde","Ekbackskyrkans IBK","Period3","Hårt spel 2",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"15","Utvisning","13:58","","Niklas Davidsson","Katrineholms IBF","Period3","Hårt spel 2",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"16","Utvisning","15:40","","Isak Hård","Katrineholms IBF","Period3","Otillåten trängning",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"17","Utvisning","15:40","","Casper Bergström","Ekbackskyrkans IBK","Period3","Protest mot domslut",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"18","Utvisning","15:40","","Isak Hård","Katrineholms IBF","Period3","Fasthållning",2,"Ekbackskyrkans IBK - Katrineholms IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"19","Utvisning","04:42","","Oscar Gill","Flens IBF","Period1","För många spelare på plan",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"20","Utvisning","17:34","","Simon Zetterström","Flens IBF","Period1","Otillåten trängning",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"21","Utvisning","05:49","","Dennis Månsson Linde ","Flens IBF","Period2","Låsning av klubba",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"22","Utvisning","08:26","","Olle Åström","Flens IBF","Period2","Slag",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"23","Utvisning","10:37","","Peter Wintstigen","FBC Nyköping","Period2","Otillåten trängning",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"24","Utvisning","08:58","","Alexander Tzoanidis","Flens IBF","Period3","Fördröjande av spelet",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"25","Utvisning","18:52","","Rikard Westerberg","FBC Nyköping","Period3","Upprepade förseelser",2,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"26","Utvisning","19:48","","Fredrik Lindberg","Flens IBF","Period3","Hårt spel 5",5,"Flens IBF - FBC Nyköping","Daniel Pettersson","Stefan Öberg","Daniel Pettersson, Stefan Öberg"
"27","Utvisning","09:54","","Simon Zetterström","Flens IBF","Period1","Otillåten trängning",2,"Flens IBF - IFK Gnesta","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"28","Utvisning","15:25","","Simon Rosander","IFK Gnesta","Period1","Slag",2,"Flens IBF - IFK Gnesta","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"29","Utvisning","11:58","","Simon Rosander","IFK Gnesta","Period3","Slag",2,"Flens IBF - IFK Gnesta","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"30","Utvisning","13:43","","Mattias Jansson","IFK Gnesta","Period3","Fasthållning",2,"Flens IBF - IFK Gnesta","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"31","Utvisning","05:14","","Erik Nilsson","Onyx IBS","Period2","Hög klubba",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"32","Utvisning","08:26","","Emanuel Sörberg","Onyx IBS","Period2","Slag",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"33","Utvisning","14:29","","Niklas Davidsson","Katrineholms IBF","Period2","Obstruktion",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"34","Utvisning","01:36","","Sebastian Gejskog","Onyx IBS","Period3","Lyftning av klubba",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"35","Utvisning","13:18","","Johan Damstedt","Onyx IBS","Period3","Låsning av klubba",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"36","Utvisning","16:00","","Albin Dahlqvist ","Katrineholms IBF","Period3","Hög spark",2,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"37","Utvisning","16:00","","Albin Dahlqvist ","Katrineholms IBF","Period3","Osportsligt uppträdande",12,"Onyx IBS - Katrineholms IBF","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"38","Utvisning","13:59","","Tobias Ledberg","Nykvarns IF","Period2","Hårt spel 2",2,"Telge SIBK - Nykvarns IF","Mikael Celik","Stefan Öberg","Mikael Celik, Stefan Öberg"
"39","Utvisning","07:08","","Henrik Brunsärn","Telge SIBK","Period3","Otillåten trängning",2,"Telge SIBK - Nykvarns IF","Mikael Celik","Stefan Öberg","Mikael Celik, Stefan Öberg"
"40","Utvisning","15:38","","Alexander Bullert","IK Standard","Period1","Slag",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"41","Utvisning","01:18","","Gustav Granberg","IK Standard","Period2","Upprepade förseelser",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"42","Utvisning","07:27","","Viktor Hansson","IK Standard","Period2","Hårt spel 2",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"43","Utvisning","12:15","","Martin Edlund","Ekbackskyrkans IBK","Period2","Felaktigt avstånd",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"44","Utvisning","15:54","","Johan Wallström","IK Standard","Period2","Låsning av klubba",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"45","Utvisning","04:18","","Casper Bergström","Ekbackskyrkans IBK","Period3","Otillåten trängning",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"46","Utvisning","07:00","","Andreas Svensson","FBC Nyköping","Period1","Protest mot domslut",2,"FBC Nyköping - IK Standard","Mikael Andersson","Mattias Lönnborg","Mikael Andersson, Mattias Lönnborg"
"47","Utvisning","06:41","","Pontus Nygårds","IK Standard","Period2","Obstruktion",2,"FBC Nyköping - IK Standard","Mikael Andersson","Mattias Lönnborg","Mikael Andersson, Mattias Lönnborg"
"48","Utvisning","07:40","","Daniel Paulsson","IK Standard","Period2","Slag",2,"FBC Nyköping - IK Standard","Mikael Andersson","Mattias Lönnborg","Mikael Andersson, Mattias Lönnborg"
"49","Utvisning","07:57","","Robin Liliegren","FBC Nyköping","Period3","Hårt spel 2",2,"FBC Nyköping - IK Standard","Mikael Andersson","Mattias Lönnborg","Mikael Andersson, Mattias Lönnborg"
"50","Utvisning","17:05","","David Törnqvist","Nykvarns IF","Period1","Upprepade förseelser",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"51","Utvisning","20:00","","Jesper Höglund","Trosa Edanö IBK","Period1","Slag",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"52","Utvisning","06:37","","Felix Nyberg","Nykvarns IF","Period2","Upprepade förseelser",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"53","Utvisning","19:09","","Jesper Eriksson","Trosa Edanö IBK","Period2","Fasthållning",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"54","Utvisning","01:07","","Emil Yngerfors","Nykvarns IF","Period3","Obstruktion",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
