"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","02:59","","Jonathan Larsson ","Hultsberg/Björkås IBF","Period3","Otillåten trängning",2,"Hultsberg/Björkås IBF - Grums IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"2","Utvisning","04:28","","Johan Eriksson","Hultsberg/Björkås IBF","Period3","Osportsligt uppträdande",12,"Hultsberg/Björkås IBF - Grums IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"3","Utvisning","12:18","","Felix Johansson","Grums IBK","Period3","Låsning av klubba",2,"Hultsberg/Björkås IBF - Grums IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"4","Utvisning","16:39","","Oscar Park","Grums IBK","Period3","Slag",2,"Hultsberg/Björkås IBF - Grums IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"5","Utvisning","18:27","","Erik Jansson","SK Örnen","Period1","Obstruktion",2,"SK Örnen - Karlstad IBF Ungdom","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"6","Utvisning","13:14","","Andreas Bengtsson","SK Örnen","Period3","Slag",2,"SK Örnen - Karlstad IBF Ungdom","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"7","Utvisning","18:04","","Fredrik Strömner","SK Örnen","Period3","Slag",2,"SK Örnen - Karlstad IBF Ungdom","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"8","Utvisning","05:19","","Johan Karlsson","Grums IBK","Period1","Obstruktion",2,"Grums IBK - Åmåls IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"9","Utvisning","16:34","","Mattheus Thorin","Åmåls IBK","Period1","Låsning av klubba",2,"Grums IBK - Åmåls IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"10","Utvisning","07:14","","Niklas Bäcker","Grums IBK","Period2","Upprepade förseelser",2,"Grums IBK - Åmåls IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"11","Utvisning","14:08","","Andreas Jonsson","Åmåls IBK","Period2","Upprepade förseelser",2,"Grums IBK - Åmåls IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"12","Utvisning","19:14","","Sebastian Schutzer","Åmåls IBK","Period2","För många spelare på plan",2,"Grums IBK - Åmåls IBK","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
