"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:26","","Aaro Hautamäki","Gimonäs Umeå IBF","Period2","Hands",2,"Gimonäs Umeå IBF - Umeå City IBF","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"2","Utvisning","16:21","","Niklas Lidgren","Gimonäs Umeå IBF","Period2","Slag",2,"Gimonäs Umeå IBF - Umeå City IBF","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"3","Utvisning","16:12","","Petter Widmark","Umeå City IBF","Period3","Slag",2,"Gimonäs Umeå IBF - Umeå City IBF","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"4","Utvisning","16:42","","Robin Hasselryd","Gimonäs Umeå IBF","Period3","Otillåten trängning",2,"Gimonäs Umeå IBF - Umeå City IBF","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"5","Utvisning","16:37","","Patric Rosenlöw","IBK Umeå Norr","Period1","Slag",2,"IBK Umeå Norr - Spöland Vännäs IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"6","Utvisning","04:04","","Emil Nilsson","Spöland Vännäs IF","Period3","Slag",2,"IBK Umeå Norr - Spöland Vännäs IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"7","Utvisning","19:59","","Mikael Hansson","IBK Umeå Norr","Period3","Slag",2,"IBK Umeå Norr - Spöland Vännäs IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"8","Utvisning","03:13","","Ronny Sandström","Rönnskär Railcare IF","Period1","Upprepade förseelser",2,"Hörnefors IF - Rönnskär Railcare IF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"9","Utvisning","15:10","","Ronny Sandström","Rönnskär Railcare IF","Period1","Slag",2,"Hörnefors IF - Rönnskär Railcare IF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"10","Utvisning","19:38","","Ted Karlsson","Hörnefors IF","Period1","Slag",2,"Hörnefors IF - Rönnskär Railcare IF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"11","Utvisning","15:05","","Joakim Berggren","Hörnefors IF","Period3","Upprepade förseelser",2,"Hörnefors IF - Rönnskär Railcare IF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"12","Utvisning","16:51","","Jesper Jonsson","Täfteå IK","Period1","Slag",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"13","Utvisning","01:29","","Albert Holmgren","Täfteå IK","Period2","Otillåten trängning",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"14","Utvisning","12:56","","Peter Falk","Täfteå IK","Period2","Fasthållning",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"15","Utvisning","06:34","","Joakim Norman","Obbola IK","Period3","Upprepade förseelser",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"16","Utvisning","06:54","","Joakim Norman","Obbola IK","Period3","Upprepade förseelser",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"17","Utvisning","07:43","","Joakim Norman","Obbola IK","Period3","Upprepade förseelser",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"18","Utvisning","10:45","","Albert Holmgren","Täfteå IK","Period3","Hårt spel 2",2,"Obbola IK - Täfteå IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"19","Utvisning","09:45","","Kalle Zetterström","IK SPIF Umeå","Period1","Låsning av klubba",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"20","Utvisning","13:12","","Lars Vilhelmsson","Vindelns IF","Period2","Hårt spel 2",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"21","Utvisning","16:06","","Filip Sigvardsson","Vindelns IF","Period2","Protest mot domslut",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"22","Utvisning","17:22","","Erik Morin","IK SPIF Umeå","Period2","Slag",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"23","Utvisning","05:38","","Erik Morin","IK SPIF Umeå","Period3","Fasthållning",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"24","Utvisning","19:16","","Erik Morin","IK SPIF Umeå","Period3","Obstruktion",2,"IK SPIF Umeå - Vindelns IF","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"25","Utvisning","04:30","","Oscar Sundvall","Holmsund City IBC","Period2","Slag",2,"Holmsund City IBC - FBC Moröbacke","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"26","Utvisning","06:49","","Ashkan Chehrehnegar","FBC Moröbacke","Period2","Slag",2,"Holmsund City IBC - FBC Moröbacke","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"27","Utvisning","11:33","","Mikael Nöjd","FBC Moröbacke","Period2","Hårt spel 2",2,"Holmsund City IBC - FBC Moröbacke","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"28","Utvisning","11:33","","Daniel Ylinenjärvi","Holmsund City IBC","Period2","Hårt spel 2",2,"Holmsund City IBC - FBC Moröbacke","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"29","Utvisning","15:30","","Amir Chehrehnegar","FBC Moröbacke","Period3","Obstruktion",2,"Holmsund City IBC - FBC Moröbacke","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"30","Utvisning","08:49","","Elias Burström","Umeå City IBF","Period1","Slag",2,"Hörnefors IF - Umeå City IBF","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"31","Utvisning","14:44","","Oscar Stensson","Umeå City IBF","Period1","Obstruktion",2,"Hörnefors IF - Umeå City IBF","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"32","Utvisning","11:51","","Viktor Rutqvist","Hörnefors IF","Period2","Slag",2,"Hörnefors IF - Umeå City IBF","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"33","Utvisning","19:03","","Mattias Bjuggstam","Hörnefors IF","Period2","Protest mot domslut",2,"Hörnefors IF - Umeå City IBF","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"34","Utvisning","14:08","","Elias Burström","Umeå City IBF","Period3","Hårt spel 2",2,"Hörnefors IF - Umeå City IBF","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"35","Utvisning","17:15","","Elias Bark Pettersson","Rönnskär Railcare IF","Period1","Ej angiven förseelse",2,"Rönnskär Railcare IF - Holmsund City IBC","Ville Hedsberg","Johan Rönnberg","Ville Hedsberg, Johan Rönnberg"
"36","Utvisning","12:17","","Daniel Ylinenjärvi","Holmsund City IBC","Period3","Hårt spel 2",2,"Rönnskär Railcare IF - Holmsund City IBC","Ville Hedsberg","Johan Rönnberg","Ville Hedsberg, Johan Rönnberg"
"37","Utvisning","11:18","","Alexander Lundström","FBC Moröbacke","Period3","Hands",2,"FBC Moröbacke - Obbola IK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"38","Utvisning","00:44","","Alexander Öberg","Gimonäs Umeå IBF","Period2","Slag",2,"Täfteå IK - Gimonäs Umeå IBF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"39","Utvisning","09:37","","Alexander Öberg","Gimonäs Umeå IBF","Period3","Lyftning av klubba",2,"Täfteå IK - Gimonäs Umeå IBF","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"40","Utvisning","04:16","","Fredric Westling","IBK Umeå Norr","Period1","Slag",2,"IBS Dalen - IBK Umeå Norr","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"41","Utvisning","03:19","","Viktor Forssén","IBS Dalen","Period2","Hands",2,"IBS Dalen - IBK Umeå Norr","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"42","Utvisning","15:56","","Ulf Brännström","IBK Umeå Norr","Period2","Slag",2,"IBS Dalen - IBK Umeå Norr","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"43","Utvisning","05:58","","Alexander Bodén","IBK Umeå Norr","Period3","Lyftning av klubba",2,"IBS Dalen - IBK Umeå Norr","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"44","Utvisning","19:48","","Alexander Bodén","IBK Umeå Norr","Period3","Fasthållning",2,"IBS Dalen - IBK Umeå Norr","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"45","Utvisning","00:35","","Daniel Marklund","IK SPIF Umeå","Period1","Slag",2,"IK SPIF Umeå - Spöland Vännäs IF","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"46","Utvisning","09:51","","Simon Bergmark","IK SPIF Umeå","Period1","Hårt spel 2",2,"IK SPIF Umeå - Spöland Vännäs IF","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"47","Utvisning","17:04","","Gustav Westerberg","Spöland Vännäs IF","Period2","Hårt spel 5",5,"IK SPIF Umeå - Spöland Vännäs IF","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"48","Utvisning","12:41","","Tobias Ernlund","IK SPIF Umeå","Period3","Slag",2,"IK SPIF Umeå - Spöland Vännäs IF","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"49","Utvisning","18:47","","William Hellgren","IK SPIF Umeå","Period3","Otillåten trängning",2,"IK SPIF Umeå - Spöland Vännäs IF","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"50","Utvisning","08:20","","Tobias Johansson","Clemensnäs IF","Period2","För många spelare på plan",2,"Clemensnäs IF - Vindelns IF","Thanasis Provatas","Andreas Weckfors","Thanasis Provatas, Andreas Weckfors"
"51","Utvisning","14:02","","Fredrik Lundqvist","Vindelns IF","Period3","Otillåten trängning",2,"Clemensnäs IF - Vindelns IF","Thanasis Provatas","Andreas Weckfors","Thanasis Provatas, Andreas Weckfors"
"52","Utvisning","05:55","","Dennis Granlöf","Gullänget-Kroksta IBS","Period2","Hands",2,"Gimonäs Umeå IBF - Gullänget-Kroksta IBS","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"53","Utvisning","04:44","","Vincent Rosén","Gimonäs Umeå IBF","Period3","För många spelare på plan",2,"Gimonäs Umeå IBF - Gullänget-Kroksta IBS","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"54","Utvisning","08:15","","Alexander Öberg","Gimonäs Umeå IBF","Period3","Slag",2,"Gimonäs Umeå IBF - Gullänget-Kroksta IBS","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"55","Utvisning","08:39","","Samuel Persson","Gullänget-Kroksta IBS","Period3","Otillåten trängning",2,"Gimonäs Umeå IBF - Gullänget-Kroksta IBS","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"56","Utvisning","15:14","","Pierre Bryntesson","Gimonäs Umeå IBF","Period3","Slag",2,"Gimonäs Umeå IBF - Gullänget-Kroksta IBS","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"57","Utvisning","17:00","","Ludwig Andersson","Gimonäs Umeå IBF","Period2","Upprepade förseelser",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IBF","Joakim Nydahl","Fredrik Söderholm","Joakim Nydahl, Fredrik Söderholm"
"58","Utvisning","17:43","","Felix Boman","Gullänget-Kroksta IBS","Period2","Hårt spel 2",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IBF","Joakim Nydahl","Fredrik Söderholm","Joakim Nydahl, Fredrik Söderholm"
