"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","09:46","","Felix Klahr","Fröjereds IF","Period2","Slag",2,"Fröjereds IF - IBK Vänersborg","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"2","Utvisning","02:13","","Martin Lundberg","Fröjereds IF","Period3","Hårt spel 2",2,"Fröjereds IF - IBK Vänersborg","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"3","Utvisning","06:32","","Martin Lundberg","Fröjereds IF","Period3","Protest mot domslut",2,"Fröjereds IF - IBK Vänersborg","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"4","Utvisning","13:09","","Emil Lilja","Stöpen IBK","Period1","Upprepade förseelser",2,"Stöpen IBK - Tranemo IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"5","Utvisning","03:18","","Jonatan Wijk","Borås IBF","Period1","Otillåten trängning",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"6","Utvisning","14:35","","Alexander Ternebrandt","Borås IBF","Period1","Slag",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"7","Utvisning","16:47","","Alexander Ternebrandt","Borås IBF","Period2","Liggande spel",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"8","Utvisning","18:12","","Mats Johansson","IBK Vänersborg","Period2","Slag",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"9","Utvisning","03:22","","Jonatan Wijk","Borås IBF","Period3","Hårt spel 2",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"10","Utvisning","06:38","","Tom Marberg","IBK Vänersborg","Period3","Hårt spel 2",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"11","Utvisning","16:32","","Mikael Karlsson","IBK Vänersborg","Period3","Hårt spel 5",5,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"12","Utvisning","01:28","","Alexander Ternebrandt","Borås IBF","Period4","Osportsligt uppträdande",12,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"13","Utvisning","03:57","","Mats Johansson","IBK Vänersborg","Period4","Slag",2,"Borås IBF - IBK Vänersborg","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"14","Utvisning","14:58","","Jonathan Svensson","BK Halna","Period1","Upprepade förseelser",2,"BK Halna - Wårgårda IBK","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"15","Utvisning","07:28","","Benjamin Hacker","Wårgårda IBK","Period2","Felaktigt byte",2,"BK Halna - Wårgårda IBK","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"16","Utvisning","07:38","","Pheeraphong Khambanlue","Wårgårda IBK","Period3","Protest mot domslut",2,"BK Halna - Wårgårda IBK","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"17","Utvisning","07:38","","Fredrik Hermansson","BK Halna","Period3","Protest mot domslut",2,"BK Halna - Wårgårda IBK","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"18","Utvisning","12:49","","Sonny Boberg","BK Halna","Period1","Protest mot domslut",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"19","Utvisning","12:49","","Sonny Boberg","BK Halna","Period1","Osportsligt uppträdande",12,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"20","Utvisning","02:05","","Manfred Sohlström","Sandareds IBS","Period2","Hårt spel 2",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"21","Utvisning","02:05","","Johan Niemer","BK Halna","Period2","Hårt spel 2",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"22","Utvisning","08:42","","Tomi Salo","BK Halna","Period2","Hårt spel 2",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"23","Utvisning","11:46","","Pontus Häggström","Sandareds IBS","Period2","För många spelare på plan",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"24","Utvisning","14:46","","Petter André","BK Halna","Period2","Otillåten trängning",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"25","Utvisning","18:04","","Niklas Brolin","Sandareds IBS","Period3","Hårt spel 2",2,"Sandareds IBS - BK Halna","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"26","Utvisning","16:16","","Jacob Granath","Stöpen IBK","Period1","Fasthållning",2,"Stöpen IBK - IBK Tygriket 99","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"27","Utvisning","17:10","","Haris Murselovic","IBK Tygriket 99","Period1","Slag",2,"Stöpen IBK - IBK Tygriket 99","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"28","Utvisning","11:02","","Johan Klasson","Stöpen IBK","Period2","Hårt spel 2",2,"Stöpen IBK - IBK Tygriket 99","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"29","Utvisning","06:28","","Robin Johansson","Stöpen IBK","Period3","Hårt spel 2",2,"Stöpen IBK - IBK Tygriket 99","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"30","Utvisning","08:45","","Cevin Ziervogl","IBK Tygriket 99","Period3","Obstruktion",2,"Stöpen IBK - IBK Tygriket 99","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"31","Utvisning","11:57","","Johan Klasson","Stöpen IBK","Period3","Otillåten trängning",2,"Stöpen IBK - IBK Tygriket 99","Henrik Carlsson","Bjarne Wesenlund","Henrik Carlsson, Bjarne Wesenlund"
