"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","06:25","","Andreas Larsson","Sundsvall City IBC U","Period1","Hands",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"2","Utvisning","10:59","","Erik Edström","Sundsvall City IBC U","Period1","Hårt spel 2",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"3","Utvisning","14:04","","Erik Edström","Sundsvall City IBC U","Period1","Otillåten trängning",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"4","Utvisning","16:32","","Mathias Svärd","Håsta IBK","Period1","Slag",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"5","Utvisning","20:00","","Rasmus Brink","Håsta IBK","Period1","Fasthållning",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"6","Utvisning","05:06","","Hugo Lindahl","Sundsvall City IBC U","Period2","Låsning av klubba",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"7","Utvisning","05:43","","Jonathan Sondell","Håsta IBK","Period2","Låsning av klubba",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"8","Utvisning","15:53","","Jonathan Sondell","Håsta IBK","Period2","Slag",2,"Sundsvall City IBC U - Håsta IBK","Peter Palander","Patrik Sjöberg","Peter Palander, Patrik Sjöberg"
"9","Utvisning","19:29","","Stefan Wallman","IBK Härnösand","Period1","Slag",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
"10","Utvisning","19:43","","Vilmer Åsenstam","Jemtland Innebandy Utv","Period1","Lyftning av klubba",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
"11","Utvisning","04:18","","Sixten Svedholm","Jemtland Innebandy Utv","Period2","För många spelare på plan",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
"12","Utvisning","07:32","","Hampus Svensson","IBK Härnösand","Period2","Låsning av klubba",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
"13","Utvisning","08:33","","Calle Flodin","Jemtland Innebandy Utv","Period2","Fasthållning",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
"14","Utvisning","08:33","","Joel Svedberg","IBK Härnösand","Period2","Slag",2,"IBK Härnösand - Jemtland Innebandy Utv","Mikael Körning","Göran Norberg","Mikael Körning, Göran Norberg"
