"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","06:31","","Johannes Andersson","Landvetter IBK H2","Period2","Upprepade förseelser",2,"Guldhedens IK H2 - Landvetter IBK H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"2","Utvisning","18:56","","Joakim Örneflo","Landvetter IBK H2","Period2","Upprepade förseelser",2,"Guldhedens IK H2 - Landvetter IBK H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"3","Utvisning","13:06","","Robin Trewe","Landvetter IBK H2","Period3","Hårt spel 2",2,"Guldhedens IK H2 - Landvetter IBK H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"4","Utvisning","15:10","","Rickard Hofgren","Guldhedens IK H2","Period3","Otillåten trängning",2,"Guldhedens IK H2 - Landvetter IBK H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"5","Utvisning","19:56","","Johannes Andersson","Landvetter IBK H2","Period3","Fasthållning",2,"Guldhedens IK H2 - Landvetter IBK H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"6","Utvisning","07:59","","Victor Fundberg","Landvetter IBK H2","Period1","Obstruktion",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"7","Utvisning","11:22","","Andreas Lundin","Landvetter IBK H2","Period1","Slag",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"8","Utvisning","16:30","","Andreas Heijel","Landvetter IBK H2","Period1","Slag",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"9","Utvisning","18:05","","Christoffer Dahl","Burås IK H2","Period1","Slag",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"10","Utvisning","05:03","","Christoffer Dahl","Burås IK H2","Period2","Hårt spel 2",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"11","Utvisning","12:09","","Andreas Esmyr","Landvetter IBK H2","Period2","Fasthållning",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"12","Utvisning","12:19","","Robin Trewe","Landvetter IBK H2","Period3","Upprepade förseelser",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"13","Utvisning","00:19","","Joakim Örneflo","Landvetter IBK H2","Period4","Protest mot domslut",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"14","Utvisning","01:06","","Andreas Lundin","Landvetter IBK H2","Period4","Felaktigt byte",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"15","Utvisning","02:28","","Daniel Markovic","Burås IK H2","Period4","Felaktigt avstånd",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"16","Utvisning","04:33","","Maximilian Ziegler","Burås IK H2","Period4","Slag",2,"Landvetter IBK H2 - Burås IK H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"17","Utvisning","19:59","","Andreas Duvsund","Partille IBS H2","Period2","Hårt spel 5",5,"Romelanda UF H2 - Partille IBS H2","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"18","Utvisning","02:04","","Max Yngwe","Romelanda UF H2","Period1","Hands",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"19","Utvisning","05:40","","Magnus Öhrn","Torslanda IBF H2","Period1","Hårt spel 2",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"20","Utvisning","16:24","","Rasmus Nyman","Romelanda UF H2","Period2","Slag",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"21","Utvisning","09:55","","Johan Henricsson","Torslanda IBF H2","Period3","Slag",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"22","Utvisning","12:11","","Carl Gustafsson","Romelanda UF H2","Period3","Protest mot domslut",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"23","Utvisning","13:49","","Daniel Sternebratt","Torslanda IBF H2","Period3","Otillåten trängning",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"24","Utvisning","15:54","","Elof Hallin","Torslanda IBF H2","Period3","Fördröjande av spelet",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"25","Utvisning","17:52","","Kristoffer Welinder","Torslanda IBF H2","Period3","För många spelare på plan",2,"Romelanda UF H2 - Torslanda IBF H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"26","Utvisning","18:44","","Melker Westerberg","Frölunda IBK H2","Period2","Fasthållning",2,"Frölunda IBK H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"27","Utvisning","04:21","","Kalle Wallin","Frölunda IBK H2","Period3","Slag",2,"Frölunda IBK H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"28","Utvisning","15:16","","","","Period3","Liggande spel",2,"Frölunda IBK H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"29","Utvisning","02:13","","Marcus Magnberg","Burås IK H2","Period3","Hårt spel 2",2,"Burås IK H2 - IBK Göteborg H2","Aldin Hadziselmovic","Alexander Pavlovic","Aldin Hadziselmovic, Alexander Pavlovic"
"30","Utvisning","10:19","","Linus Kamperin","IBK Kungälv H2","Period3","För många spelare på plan",2,"IBK Kungälv H2 - Landvetter IBK H2","Joakim Amri Nilsson","Joakim Jögi","Joakim Amri Nilsson, Joakim Jögi"
"31","Utvisning","12:01","","Jesper Lundstedt","Guldhedens IK H2","Period2","Slag",2,"Guldhedens IK H2 - IBF Backadalen","Gustav Glansén","Adnan Tongur","Gustav Glansén, Adnan Tongur"
"32","Utvisning","19:56","","Linus Hjerpe","IBK Kungälv H2","Period3","Protest mot domslut",2,"IBK Kungälv H2 - Guldhedens IK H2","Hajrudin Begic","Alexander Pavlovic","Hajrudin Begic, Alexander Pavlovic"
"33","Utvisning","07:15","","Linus Kamperin","IBK Kungälv H2","Period2","Fasthållning",2,"IBK Kungälv H2 - Romelanda UF H2","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
"34","Utvisning","15:21","","Andreas Nordh","IBK Kungälv H2","Period2","Hands",2,"IBK Kungälv H2 - Romelanda UF H2","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
