"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","04:52","","Jonathan Sarri","Obbola IK","Period3","Upprepade förseelser",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"2","Utvisning","10:18","","Kasper Jonsson","Spöland Vännäs IF","Period3","Låsning av klubba",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"3","Utvisning","15:12","","Fredrik Zemrén","Spöland Vännäs IF","Period3","Slag",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"4","Utvisning","18:32","","Per Lundberg","Spöland Vännäs IF","Period3","Slag",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"5","Utvisning","19:42","","Kasper Jonsson","Spöland Vännäs IF","Period3","Obstruktion",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"6","Utvisning","19:59","","Tomas Lybeck","Obbola IK","Period3","Hårt spel 2",2,"Spöland Vännäs IF - Obbola IK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"7","Utvisning","19:28","","Gustav Fihlman","Gimonäs Umeå IBF","Period1","Hårt spel 2",2,"Gimonäs Umeå IBF - IBS Dalen","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"8","Utvisning","08:59","","Edvin Johansson","IBS Dalen","Period2","Otillåten trängning",2,"Gimonäs Umeå IBF - IBS Dalen","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"9","Utvisning","13:30","","Jonathan Paulsson-Smedborn","Gimonäs Umeå IBF","Period2","Slag",2,"Gimonäs Umeå IBF - IBS Dalen","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"10","Utvisning","18:33","","Samuel Melin","IBS Dalen","Period2","Låsning av klubba",2,"Gimonäs Umeå IBF - IBS Dalen","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"11","Utvisning","09:59","","Alvin Löfgren","IBS Dalen","Period3","Hands",2,"Gimonäs Umeå IBF - IBS Dalen","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"12","Utvisning","06:35","","Gustav Granström","Vindelns IF","Period2","Upprepade förseelser",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"13","Utvisning","09:36","","Lars Vilhelmsson","Vindelns IF","Period2","Slag",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"14","Utvisning","19:39","","Simon Savolainen","Holmsund City IBC","Period2","Hög klubba",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"15","Utvisning","03:34","","Hugo Bertilsson","Vindelns IF","Period3","Hårt spel 2",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"16","Utvisning","03:34","","Daniel Ylinenjärvi","Holmsund City IBC","Period3","Hårt spel 2",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"17","Utvisning","13:06","","Gustav Granström","Vindelns IF","Period3","Upprepade förseelser",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"18","Utvisning","19:59","","Oscar Sundvall","Holmsund City IBC","Period3","Hög klubba",2,"Vindelns IF - Holmsund City IBC","Therese Edin","Frida Nilsson","Therese Edin, Frida Nilsson"
"19","Utvisning","09:19","","Mattias Bjuggstam","Hörnefors IF","Period1","Slag",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"20","Utvisning","03:07","","Felix Boman","Gullänget-Kroksta IBS","Period2","Låsning av klubba",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"21","Utvisning","09:41","","Anton Hörnlund","Hörnefors IF","Period2","Slag",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"22","Utvisning","11:10","","Marcus Königsson","Hörnefors IF","Period2","Otillåten trängning",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"23","Utvisning","14:23","","Niklas Eriksson","Gullänget-Kroksta IBS","Period2","Hårt spel 2",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"24","Utvisning","03:07","","Ted Karlsson","Hörnefors IF","Period3","Hårt spel 2",2,"Gullänget-Kroksta IBS - Hörnefors IF","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"25","Utvisning","15:08","","Jonathan Larsson","Gimonäs Umeå IBF","Period2","Fasthållning",2,"Gimonäs Umeå IBF - Spöland Vännäs IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"26","Utvisning","08:57","","Samuel Adolfsson","Gimonäs Umeå IBF","Period3","Obstruktion",2,"Gimonäs Umeå IBF - Spöland Vännäs IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"27","Utvisning","05:18","","Kristian Sjöberg","Gullänget-Kroksta IBS","Period1","Lyftning av klubba",2,"Gullänget-Kroksta IBS - IBS Dalen","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"28","Utvisning","10:06","","André Johansson","Gullänget-Kroksta IBS","Period1","Obstruktion",2,"Gullänget-Kroksta IBS - IBS Dalen","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"29","Utvisning","17:57","","Zebastian Vestin","Gullänget-Kroksta IBS","Period1","Hårt spel 2",2,"Gullänget-Kroksta IBS - IBS Dalen","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"30","Utvisning","16:07","","André Öquist","IBS Dalen","Period3","Fördröjande av spelet",2,"Gullänget-Kroksta IBS - IBS Dalen","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"31","Utvisning","04:12","","Tomas Lybeck","Obbola IK","Period1","Hands",2,"Obbola IK - Vindelns IF","Tony Cederholm","Mats Öster","Tony Cederholm, Mats Öster"
"32","Utvisning","16:39","","Noel Svensson-Wennström","Obbola IK","Period1","Slag",2,"Obbola IK - Vindelns IF","Tony Cederholm","Mats Öster","Tony Cederholm, Mats Öster"
"33","Utvisning","01:46","","Christoffer Holmström","Vindelns IF","Period2","Upprepade förseelser",2,"Obbola IK - Vindelns IF","Tony Cederholm","Mats Öster","Tony Cederholm, Mats Öster"
"34","Utvisning","10:53","","Simon Forsberg","Obbola IK","Period2","Slag",2,"Obbola IK - Vindelns IF","Tony Cederholm","Mats Öster","Tony Cederholm, Mats Öster"
"35","Utvisning","18:29","","Fredrik Edholm","Obbola IK","Period3","Upprepade förseelser",2,"Obbola IK - Vindelns IF","Tony Cederholm","Mats Öster","Tony Cederholm, Mats Öster"
"36","Utvisning","13:27","","Joel Boman","IK SPIF Umeå","Period1","Slag",2,"Täfteå IK - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"37","Utvisning","08:02","","Felix Pihlajamaa-Jonsson","Täfteå IK","Period3","Fördröjande av spelet",2,"Täfteå IK - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"38","Utvisning","02:56","","Peter Ståhl","Clemensnäs IF","Period1","Obstruktion",2,"Clemensnäs IF - IBK Umeå Norr","Daniel Degerman","Johan Rönnberg","Daniel Degerman, Johan Rönnberg"
"39","Utvisning","17:28","","Johan Vesterlund","Clemensnäs IF","Period1","Fördröjande av spelet",2,"Clemensnäs IF - IBK Umeå Norr","Daniel Degerman","Johan Rönnberg","Daniel Degerman, Johan Rönnberg"
"40","Utvisning","11:03","","Johan Vesterlund","Clemensnäs IF","Period2","Slag",2,"Clemensnäs IF - IBK Umeå Norr","Daniel Degerman","Johan Rönnberg","Daniel Degerman, Johan Rönnberg"
"41","Utvisning","14:57","","Patric Rosenlöw","IBK Umeå Norr","Period2","Upprepade förseelser",2,"Clemensnäs IF - IBK Umeå Norr","Daniel Degerman","Johan Rönnberg","Daniel Degerman, Johan Rönnberg"
"42","Utvisning","12:35","","William Löf","Rönnskär Railcare IF","Period2","Slag",2,"Umeå City IBF - Rönnskär Railcare IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"43","Utvisning","01:43","","Adam Edlund","Rönnskär Railcare IF","Period3","Otillåten trängning",2,"Umeå City IBF - Rönnskär Railcare IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"44","Utvisning","12:44","","Melker Bergman","Rönnskär Railcare IF","Period1","Otillåten trängning",2,"Täfteå IK - Rönnskär Railcare IF","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"45","Utvisning","06:34","","Isak Morén","Rönnskär Railcare IF","Period2","Slag",2,"Täfteå IK - Rönnskär Railcare IF","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"46","Utvisning","11:54","","Robin Hunesjö","Rönnskär Railcare IF","Period2","Upprepade förseelser",2,"Täfteå IK - Rönnskär Railcare IF","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"47","Utvisning","19:16","","Jesper Engström","IK SPIF Umeå","Period2","Låsning av klubba",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"48","Utvisning","09:47","","Johan Vesterlund","Clemensnäs IF","Period3","Låsning av klubba",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"49","Utvisning","11:18","","William Hellgren","IK SPIF Umeå","Period3","Lyftning av klubba",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"50","Utvisning","11:18","","Tobias Ernlund","IK SPIF Umeå","Period3","Upprepade förseelser",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"51","Utvisning","13:09","","Joel Johansson","Clemensnäs IF","Period3","Hårt spel 2",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"52","Utvisning","16:53","","Erik Morin","IK SPIF Umeå","Period3","Slag",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"53","Utvisning","18:33","","Erik Falkman","Clemensnäs IF","Period3","Protest mot domslut",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"54","Utvisning","18:33","","Erik Falkman","Clemensnäs IF","Period3","Fördröjande av spelet",2,"Clemensnäs IF - IK SPIF Umeå","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"55","Utvisning","07:31","","Emil Sundström","FBC Moröbacke","Period1","Slag",2,"Umeå City IBF - FBC Moröbacke","Ville Hedsberg","Johan Rönnberg","Ville Hedsberg, Johan Rönnberg"
