"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","02:35","","Jesper Lidevi","Wårgårda IBK","Period2","Fasthållning",2,"Wårgårda IBK - Stöpen IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"2","Utvisning","05:35","","Jesper Wickman","Stöpen IBK","Period2","Slag",2,"Wårgårda IBK - Stöpen IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"3","Utvisning","06:05","","Pheeraphong Khambanlue","Wårgårda IBK","Period2","Slag",2,"Wårgårda IBK - Stöpen IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"4","Utvisning","17:07","","Benjamin Hacker","Wårgårda IBK","Period2","Protest mot domslut",2,"Wårgårda IBK - Stöpen IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"5","Utvisning","02:34","","Jesper Lidevi","Wårgårda IBK","Period3","Fasthållning",2,"Wårgårda IBK - Stöpen IBK","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"6","Utvisning","07:21","","Anton Ahagen","Rydboholms SK","Period2","Fasthållning",2,"Skövde IBF - Rydboholms SK","Magnus Jansson","Kronoslav Kis","Magnus Jansson, Kronoslav Kis"
"7","Utvisning","06:31","","Felix Hallgren","Sandareds IBS","Period1","Hårt spel 2",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"8","Utvisning","04:30","","Fredrik Lindquist","IBK Vänersborg","Period2","Fasthållning",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"9","Utvisning","14:37","","Anton Dahlström","IBK Vänersborg","Period2","Slag",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"10","Utvisning","15:47","","Svante Flood","IBK Vänersborg","Period2","Liggande spel",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"11","Utvisning","09:42","","Svante Flood","IBK Vänersborg","Period3","Obstruktion",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"12","Utvisning","18:50","","Fredrik Gustafsson","Sandareds IBS","Period3","Obstruktion",2,"IBK Vänersborg - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"13","Utvisning","17:56","","Tommy Svensson","IBK Tygriket 99","Period2","Obstruktion",2,"IBK Vänersborg - IBK Tygriket 99","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"14","Utvisning","13:32","","Johan Ödmar","BK Halna","Period1","Otillåten trängning",2,"Vara IBK - BK Halna","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"15","Utvisning","07:04","","Oscar Garyd","Vara IBK","Period2","Obstruktion",2,"Vara IBK - BK Halna","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"16","Utvisning","14:29","","André Persson","BK Halna","Period2","Hårt spel 2",2,"Vara IBK - BK Halna","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"17","Utvisning","13:25","","Alexander Wiberg","Sandareds IBS","Period1","Slag",2,"Sandareds IBS - Tranemo IBK","Henrik Carlsson","Bjarne Wesenlund","Henrik Carlsson, Bjarne Wesenlund"
"18","Utvisning","07:28","","Alexander Wiberg","Sandareds IBS","Period2","Slag",2,"Sandareds IBS - Tranemo IBK","Henrik Carlsson","Bjarne Wesenlund","Henrik Carlsson, Bjarne Wesenlund"
"19","Utvisning","19:31","","Oskar Evertson","Wårgårda IBK","Period1","Fasthållning",2,"Fröjereds IF - Wårgårda IBK","Magnus Jansson","Harri Tjäder","Magnus Jansson, Harri Tjäder"
"20","Utvisning","15:05","","Martin Gustavsson","Fröjereds IF","Period2","Hårt spel 2",2,"Fröjereds IF - Wårgårda IBK","Magnus Jansson","Harri Tjäder","Magnus Jansson, Harri Tjäder"
"21","Utvisning","19:40","","Hugo Klahr","Fröjereds IF","Period3","Fasthållning",2,"Fröjereds IF - Wårgårda IBK","Magnus Jansson","Harri Tjäder","Magnus Jansson, Harri Tjäder"
"22","Utvisning","19:59","","Martin Lundberg","Fröjereds IF","Period3","Hårt spel 2",2,"Fröjereds IF - Wårgårda IBK","Magnus Jansson","Harri Tjäder","Magnus Jansson, Harri Tjäder"
"23","Utvisning","05:13","","Henrik Kristensson","Rydboholms SK","Period1","Slag",2,"Rydboholms SK - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"24","Utvisning","08:19","","Andy Lust","Sandareds IBS","Period1","Hårt spel 2",2,"Rydboholms SK - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"25","Utvisning","15:51","","Tobias Gabrielsson","Sandareds IBS","Period1","Otillåten trängning",2,"Rydboholms SK - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"26","Utvisning","02:07","","Henrik Kristensson","Rydboholms SK","Period2","Hårt spel 2",2,"Rydboholms SK - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"27","Utvisning","17:02","","Dennis Carlsson","Rydboholms SK","Period3","Slag",2,"Rydboholms SK - Sandareds IBS","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
