"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","08:55","","Johan Ekdal","Frölunda IBK H2","Period2","Slag",2,"Frölunda IBK H2 - IBK Kungälv H2","Pierre Eberhard Berg","Adnan Tongur","Pierre Eberhard Berg, Adnan Tongur"
"2","Utvisning","10:47","","Anton Harrie","Frölunda IBK H2","Period2","Otillåten trängning",2,"Frölunda IBK H2 - IBK Kungälv H2","Pierre Eberhard Berg","Adnan Tongur","Pierre Eberhard Berg, Adnan Tongur"
"3","Utvisning","08:16","","Jesper Hult","IBK Kungälv H2","Period3","Hårt spel 2",2,"Frölunda IBK H2 - IBK Kungälv H2","Pierre Eberhard Berg","Adnan Tongur","Pierre Eberhard Berg, Adnan Tongur"
"4","Utvisning","13:17","","Linus Hjerpe","IBK Kungälv H2","Period3","Hårt spel 2",2,"Frölunda IBK H2 - IBK Kungälv H2","Pierre Eberhard Berg","Adnan Tongur","Pierre Eberhard Berg, Adnan Tongur"
"5","Utvisning","19:51","","Christoffer Engström","IBK Kungälv H2","Period3","Hårt spel 2",2,"Frölunda IBK H2 - IBK Kungälv H2","Pierre Eberhard Berg","Adnan Tongur","Pierre Eberhard Berg, Adnan Tongur"
"6","Utvisning","10:30","","Alex Mattsson","IBK Göteborg H2","Period3","Hårt spel 2",2,"Landvetter IBK H2 - IBK Göteborg H2","Gustav Glansén","Christian Jensen","Gustav Glansén, Christian Jensen"
"7","Utvisning","01:40","","Maximilian Ziegler","Burås IK H2","Period1","Hårt spel 2",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"8","Utvisning","10:26","","Maximilian Ziegler","Burås IK H2","Period1","Hårt spel 2",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"9","Utvisning","04:39","","Jesper Stolt-Hermansson","Romelanda UF H2","Period2","Otillåten spark",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"10","Utvisning","12:46","","Joel Welin","Burås IK H2","Period2","Hårt spel 2",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"11","Utvisning","13:43","","Jesper Stolt-Hermansson","Romelanda UF H2","Period2","Hårt spel 2",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"12","Utvisning","11:09","","Viktor Hallström","Romelanda UF H2","Period3","Ej angiven förseelse",2,"Burås IK H2 - Romelanda UF H2","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"13","Utvisning","09:05","","Jonatan Hartmann","IBF Backadalen","Period1","För många spelare på plan",2,"Lindome IBK H2 - IBF Backadalen","Christian Jensen","Adam Kruse","Christian Jensen, Adam Kruse"
"14","Utvisning","09:23","","Oskar Öhrling","Lindome IBK H2","Period2","Liggande spel",2,"Lindome IBK H2 - IBF Backadalen","Christian Jensen","Adam Kruse","Christian Jensen, Adam Kruse"
"15","Utvisning","14:39","","Joakim Blom","IBF Backadalen","Period2","Fördröjande av spelet",2,"Lindome IBK H2 - IBF Backadalen","Christian Jensen","Adam Kruse","Christian Jensen, Adam Kruse"
"16","Utvisning","16:48","","Joakim Blom","IBF Backadalen","Period2","Slag",2,"Lindome IBK H2 - IBF Backadalen","Christian Jensen","Adam Kruse","Christian Jensen, Adam Kruse"
"17","Utvisning","03:04","","Emil Nydahl","Lindome IBK H2","Period3","Otillåten trängning",2,"Lindome IBK H2 - IBF Backadalen","Christian Jensen","Adam Kruse","Christian Jensen, Adam Kruse"
"18","Utvisning","14:12","","Axel Bodén","Partille IBS H2","Period1","Slag",2,"Partille IBS H2 - Torslanda IBF H2","Jesper Dammert","Besim Mehmedagic","Jesper Dammert, Besim Mehmedagic"
"19","Utvisning","13:31","","Anton Harrie","Frölunda IBK H2","Period3","Hårt spel 2",2,"Frölunda IBK H2 - Lindome IBK H2","Aldin Hadziselmovic","Alexander Pavlovic","Aldin Hadziselmovic, Alexander Pavlovic"
"20","Utvisning","11:53","","Felix Ström ","Torslanda IBF H2","Period3","Obstruktion",2,"Burås IK H2 - Torslanda IBF H2","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"21","Utvisning","05:34","","Niklas Börjesson","IBK Göteborg H2","Period3","Upprepade förseelser",2,"IBK Göteborg H2 - IBF Backadalen","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"22","Utvisning","11:33","","Jonathan Segerbjer","IBK Göteborg H2","Period3","Hårt spel 2",2,"IBK Göteborg H2 - IBF Backadalen","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"23","Utvisning","01:36","","Daniel Spargren","IBK Kungälv H2","Period1","Slag",2,"IBK Kungälv H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"24","Utvisning","13:47","","Teodor Wingårdh","Hovås IBK","Period1","Upprepade förseelser",2,"IBK Kungälv H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"25","Utvisning","10:06","","Tobias Nordfors","IBK Kungälv H2","Period2","Protest mot domslut",2,"IBK Kungälv H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"26","Utvisning","14:16","","Anders Roland Holst","Hovås IBK","Period3","Slag",2,"IBK Kungälv H2 - Hovås IBK","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"27","Utvisning","02:28","","Melker Jerhamre","Partille IBS H2","Period2","Låsning av klubba",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"28","Utvisning","11:05","","Alex Garcia","Partille IBS H2","Period2","Protest mot domslut",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"29","Utvisning","16:51","","Albin Fredborg","Landvetter IBK H2","Period2","Hårt spel 2",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"30","Utvisning","16:51","","Axel Lingheimer","Partille IBS H2","Period2","Slag",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"31","Utvisning","18:56","","Sixten Ljungklint-Ekman","Partille IBS H2","Period2","Felaktigt avstånd",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"32","Utvisning","02:38","","Andreas Lundin","Landvetter IBK H2","Period3","Hårt spel 2",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"33","Utvisning","07:18","","Joakim Örneflo","Landvetter IBK H2","Period3","Protest mot domslut",2,"Partille IBS H2 - Landvetter IBK H2","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"34","Utvisning","10:01","","Ludvig Nordgren","Partille IBS H2","Period2","Slag",2,"Partille IBS H2 - IBF Backadalen","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"35","Utvisning","15:33","","Magnus Öhrn","Torslanda IBF H2","Period1","Slag",2,"Romelanda UF H2 - Torslanda IBF H2","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"36","Utvisning","14:31","","Carl Gustafsson","Romelanda UF H2","Period2","Hårt spel 2",2,"Romelanda UF H2 - Torslanda IBF H2","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"37","Utvisning","17:01","","Carl Gustafsson","Romelanda UF H2","Period2","Slag",2,"Romelanda UF H2 - Torslanda IBF H2","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"38","Utvisning","17:45","","Johan Henricsson","Torslanda IBF H2","Period2","Slag",2,"Romelanda UF H2 - Torslanda IBF H2","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
