"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","03:11","","Mattias Sjödin","IBK Succé","Period1","Slag",2,"IBK Succé - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"2","Utvisning","03:40","","Todd Karlsson","Linköpings Universitets AIF IBK","Period2","Felaktigt avstånd",2,"IBK Succé - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"3","Utvisning","12:55","","Aleksander Pekkala ","Linköpings Universitets AIF IBK","Period2","Obstruktion",2,"IBK Succé - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"4","Utvisning","08:29","","Toni Marhosevic","IBK Succé","Period3","Otillåten trängning",2,"IBK Succé - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"5","Utvisning","12:23","","Per Antonsson","Linköpings Universitets AIF IBK","Period3","Fasthållning",2,"IBK Succé - Linköpings Universitets AIF IBK","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"6","Utvisning","11:25","","Jonathan Carling","Rimforsa IF","Period1","Slag",2,"Linköpings Universitets AIF IBK - Rimforsa IF","Jimmy Eliasson","Jesper Liedberg","Jimmy Eliasson, Jesper Liedberg"
"7","Utvisning","11:52","","Calle Hedlund","Linköpings Universitets AIF IBK","Period1","Låsning av klubba",2,"Linköpings Universitets AIF IBK - Rimforsa IF","Jimmy Eliasson","Jesper Liedberg","Jimmy Eliasson, Jesper Liedberg"
"8","Utvisning","08:27","","Joacim Westling","Linköping Legends FBC","Period1","Hårt spel 2",2,"Linköping Legends FBC - Finspång IBK","Oscar Bard","Sonny Weideborg","Oscar Bard, Sonny Weideborg"
"9","Utvisning","12:01","","Anders Engberg","Finspång IBK","Period1","Låsning av klubba",2,"Linköping Legends FBC - Finspång IBK","Oscar Bard","Sonny Weideborg","Oscar Bard, Sonny Weideborg"
"10","Utvisning","08:42","","Joacim Westling","Linköping Legends FBC","Period3","Upprepade förseelser",2,"Linköping Legends FBC - Finspång IBK","Oscar Bard","Sonny Weideborg","Oscar Bard, Sonny Weideborg"
"11","Utvisning","08:42","","Joacim Westling","Linköping Legends FBC","Period3","Upprepade förseelser",2,"Linköping Legends FBC - Finspång IBK","Oscar Bard","Sonny Weideborg","Oscar Bard, Sonny Weideborg"
"12","Utvisning","15:08","","Jonathan Westerberg","Linköping Legends FBC","Period3","Hårt spel 5",5,"Linköping Legends FBC - Finspång IBK","Oscar Bard","Sonny Weideborg","Oscar Bard, Sonny Weideborg"
"13","Utvisning","15:05","","Jakob Lindström","Rimforsa IF","Period1","Upprepade förseelser",2,"Rimforsa IF - Söderköpings IBK","Thomas Nystrand","Peter Ström","Thomas Nystrand, Peter Ström"
"14","Utvisning","08:30","","Melker Vastesson","Söderköpings IBK","Period2","Otillåten trängning",2,"Rimforsa IF - Söderköpings IBK","Thomas Nystrand","Peter Ström","Thomas Nystrand, Peter Ström"
"15","Utvisning","09:08","","Christoffer Hallberg","Rimforsa IF","Period2","Låsning av klubba",2,"Rimforsa IF - Söderköpings IBK","Thomas Nystrand","Peter Ström","Thomas Nystrand, Peter Ström"
