"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","02:01","","Simon Sjögren","Karlstad IBF","Period1","Hands",2,"Karlstad IBF - Åby IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"2","Utvisning","18:15","","Kevin Hansson","Åby IBK","Period1","Fasthållning",2,"Karlstad IBF - Åby IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"3","Utvisning","02:01","","Simon Sjögren","Karlstad IBF","Period2","Hands",2,"Karlstad IBF - Åby IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"4","Utvisning","11:57","","Marcus Skager","Karlstad IBF","Period2","Otillåten trängning",2,"Karlstad IBF - Åby IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"5","Utvisning","13:25","","Joakim Rollén","IBK Runsten","Period2","Slag",2,"Team Thorengruppen SK - IBK Runsten","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"6","Utvisning","20:00","","Jonatan Holst","IBK Runsten","Period2","Obstruktion",2,"Team Thorengruppen SK - IBK Runsten","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"7","Utvisning","11:42","","Jakob Lundmark","KAIS Mora IF","Period1","Upprepade förseelser",2,"Hagunda IF - KAIS Mora IF","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"8","Utvisning","14:46","","Christoffer Gustafsson","Hagunda IF","Period1","Slag",2,"Hagunda IF - KAIS Mora IF","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"9","Utvisning","10:30","","Martin Holm","Hagunda IF","Period2","Slag",2,"Hagunda IF - KAIS Mora IF","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"10","Utvisning","06:15","","Felix Karlsson","Åby IBK","Period2","Hårt spel 2",2,"Visby IBK - Åby IBK","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"11","Utvisning","13:18","","Filip Samelius Bäckman","Åby IBK","Period2","Slag",2,"Visby IBK - Åby IBK","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"12","Utvisning","19:29","","Markus Jovic","Visby IBK","Period2","Slag",2,"Visby IBK - Åby IBK","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"13","Utvisning","09:21","","Jon Lindgren","Visby IBK","Period3","Hårt spel 2",2,"Visby IBK - Åby IBK","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"14","Utvisning","09:21","","Andreas Nord - Bardun","Åby IBK","Period3","Hårt spel 2",2,"Visby IBK - Åby IBK","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"15","Utvisning","09:02","","Mattias Lövenfors","RIG Umeå IBF","Period1","Fördröjande av spelet",2,"Djurgårdens IF IBS - RIG Umeå IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"16","Utvisning","12:59","","Sebastian Gafvelin","Djurgårdens IF IBS","Period2","Upprepade förseelser",2,"Djurgårdens IF IBS - RIG Umeå IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"17","Utvisning","14:02","","Patrik Schantz","Djurgårdens IF IBS","Period2","Fördröjande av spelet",2,"Djurgårdens IF IBS - RIG Umeå IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"18","Utvisning","19:24","","Sebastian Gafvelin","Djurgårdens IF IBS","Period3","Otillåten trängning",2,"Djurgårdens IF IBS - RIG Umeå IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"19","Utvisning","01:50","","Filip Ekman","Lagan IBK","Period1","Hårt spel 2",2,"Lagan IBK - Onyx IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"20","Utvisning","09:08","","Daniel Öberg","Onyx IBK","Period2","Låsning av klubba",2,"Lagan IBK - Onyx IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"21","Utvisning","13:29","","Filip Karlsson","Onyx IBK","Period2","Liggande spel",2,"Lagan IBK - Onyx IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"22","Utvisning","19:55","","Oscar Bierfeldt","Onyx IBK","Period3","Felaktigt byte",2,"Lagan IBK - Onyx IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"23","Utvisning","19:55","","Jesper Ekström ","Onyx IBK","Period3","Osportsligt uppträdande",12,"Lagan IBK - Onyx IBK","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"24","Utvisning","12:22","","Alvin Ahlqvist","Wibax-Piteå IBK","Period1","Slag",2,"Salems IF - Wibax-Piteå IBK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"25","Utvisning","17:37","","Robert Johansson","Salems IF","Period1","För många spelare på plan",2,"Salems IF - Wibax-Piteå IBK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"26","Utvisning","12:30","","Tobias Lindström","Salems IF","Period2","Obstruktion",2,"Salems IF - Wibax-Piteå IBK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"27","Utvisning","12:51","","Patrik Gustavsson ","Salems IF","Period3","Slag",2,"Salems IF - Wibax-Piteå IBK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"28","Utvisning","08:31","","Johan Hassdal","FBC Lerum","Period1","Upprepade förseelser",2,"FBC Lerum - Karlstad IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"29","Utvisning","01:35","","Johan Hassdal","FBC Lerum","Period3","Obstruktion",2,"FBC Lerum - Karlstad IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"30","Utvisning","05:46","","Kristoffer Bakke","Karlstad IBF","Period3","Upprepade förseelser",2,"FBC Lerum - Karlstad IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"31","Utvisning","05:46","","Anton Sjölund Jurado","FBC Lerum","Period3","Hårt spel 2",2,"FBC Lerum - Karlstad IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"32","Utvisning","19:41","","Jesper Colling","Karlstad IBF","Period3","Matchstraff 1",20,"FBC Lerum - Karlstad IBF","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
