"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","04:49","","Filip Olofsson","Gullänget-Kroksta IBS","Period2","Slag",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"2","Utvisning","08:47","","John Isaac Sandberg","IBK Umeå Norr","Period2","Hårt spel 5",5,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"3","Utvisning","08:47","","Filip Olofsson","Gullänget-Kroksta IBS","Period2","Hårt spel 2",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"4","Utvisning","12:25","","Robin Molin","Gullänget-Kroksta IBS","Period2","Obstruktion",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"5","Utvisning","12:25","","Robin Sjöberg","Gullänget-Kroksta IBS","Period2","Protest mot domslut",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"6","Utvisning","12:44","","Mattias Nydahl","Gullänget-Kroksta IBS","Period2","Osportsligt uppträdande",12,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"7","Utvisning","18:31","","Magnus Johansson","IBK Umeå Norr","Period2","Otillåten trängning",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"8","Utvisning","04:29","","Fredric Westling","IBK Umeå Norr","Period3","Obstruktion",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"9","Utvisning","06:22","","Johan Alm","IBK Umeå Norr","Period3","Slag",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"10","Utvisning","18:56","","Arvid Hamberg","Gullänget-Kroksta IBS","Period3","Hårt spel 2",2,"Gullänget-Kroksta IBS - IBK Umeå Norr","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"11","Utvisning","04:11","","Samuel Persson","Örnsköldsvik IBF","Period2","Slag",2,"Örnsköldsvik IBF - Rönnskär Railcare IF","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"12","Utvisning","05:59","","Alex Qvarnlöf","Rönnskär Railcare IF","Period2","Obstruktion",2,"Örnsköldsvik IBF - Rönnskär Railcare IF","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"13","Utvisning","02:40","","Zebastian Vestin","Örnsköldsvik IBF","Period3","Slag",2,"Örnsköldsvik IBF - Rönnskär Railcare IF","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"14","Utvisning","07:09","","Samuel Persson","Örnsköldsvik IBF","Period3","Protest mot domslut",2,"Örnsköldsvik IBF - Rönnskär Railcare IF","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"15","Utvisning","00:34","","Tobias Jonsson","IBK Umeå Norr","Period2","Liggande spel",2,"Team Thorengruppen Ungdom SK - IBK Umeå Norr","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
