"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","19:13","","Ossian Eklund","Umeå City IBF","Period3","Hög klubba",2,"Holmsund City IBC - Umeå City IBF","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"2","Utvisning","02:19","","Jonatan Vallin","IBF Dalen /IBS Dalen","Period1","Obstruktion",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"3","Utvisning","07:37","","Oskar Lexelius","Holmsund City IBC","Period1","Fasthållning",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"4","Utvisning","11:23","","Hugo Rosen Lindgren","Holmsund City IBC","Period1","Hårt spel 2",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"5","Utvisning","08:41","","Viktor Rosenqvist","Holmsund City IBC","Period2","Upprepade förseelser",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"6","Utvisning","14:52","","Rasmus Sivertsson","IBF Dalen /IBS Dalen","Period2","Felaktigt byte",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"7","Utvisning","15:38","","Gustav Örnberg","Holmsund City IBC","Period2","Otillåten trängning",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"8","Utvisning","15:42","","Rasmus Sivertsson","IBF Dalen /IBS Dalen","Period3","Hårt spel 2",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"9","Utvisning","18:50","","Wilhelm Pfeifer","Holmsund City IBC","Period3","Hårt spel 2",2,"IBF Dalen /IBS Dalen - Holmsund City IBC","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"10","Utvisning","17:53","","Hugo Gunneriusson","Umeå City IBF","Period3","Otillåten trängning",2,"Umeå City IBF - IBF Dalen /Vit","Kim Fallbjörk","Louise Ramebäck","Kim Fallbjörk, Louise Ramebäck"
"11","Utvisning","13:17","","Julian Amya","Skellefteå IBK","Period2","Slag",2,"Skellefteå IBK - Umeå City IBF/P04Vit","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"12","Utvisning","06:46","","Arvid Granvik","Umeå City IBF/P04Vit","Period3","Hårt spel 2",2,"Skellefteå IBK - Umeå City IBF/P04Vit","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"13","Utvisning","10:06","","Albin Näslund","Team Thorengruppen SK","Period1","Otillåten trängning",2,"Gullänget-Kroksta IBS - Team Thorengruppen SK","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"14","Utvisning","16:06","","Ossian Karling","Team Thorengruppen SK","Period2","Fasthållning",2,"Gullänget-Kroksta IBS - Team Thorengruppen SK","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"15","Utvisning","19:11","","Elias Sjödin","Team Thorengruppen SK","Period3","Fasthållning",2,"Gullänget-Kroksta IBS - Team Thorengruppen SK","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"16","Utvisning","08:57","","Rasmus Sivertsson","IBF Dalen /IBS Dalen","Period2","Slag",2,"Umeå City IBF/P04Vit - IBF Dalen /IBS Dalen","David Karlsson","Roger Karlsson","David Karlsson, Roger Karlsson"
"17","Utvisning","07:20","","Jonatan Vallin","IBF Dalen /IBS Dalen","Period3","Felaktigt byte",2,"Umeå City IBF/P04Vit - IBF Dalen /IBS Dalen","David Karlsson","Roger Karlsson","David Karlsson, Roger Karlsson"
"18","Utvisning","19:31","","André Öquist","IBF Dalen /IBS Dalen","Period1","Otillåten trängning",2,"IBF Dalen /IBS Dalen - Ersboda SK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"19","Utvisning","03:48","","Ludvig Andersson","Ersboda SK","Period2","Hårt spel 2",2,"IBF Dalen /IBS Dalen - Ersboda SK","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
