"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1",1,"Utvisning","17:32",NA,"Kristofer Rönnlund","IBF Dalen","Period1","Hårt spel 2",2,"Robertsfors IK - IBF Dalen","David Morén","Isak Morén","David Morén, Isak Morén"
"2",2,"Utvisning","08:33",NA,"Ludvig Andersson","Ersboda SK","Period2","Slag",2,"Ersboda SK - Gimonäs Umeå IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"3",3,"Utvisning","06:06",NA,"Mattias Håkansson","Ersboda SK","Period3","Slag",2,"Ersboda SK - Gimonäs Umeå IF","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"4",4,"Utvisning","14:53",NA,"William Nordström","Umeå City IBF","Period2","Slag",2,"Umeå City IBF - Spöland Vännäs IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"5",5,"Utvisning","02:48",NA,"Gustav Åberg","Spöland Vännäs IF","Period3","För många spelare på plan",2,"Umeå City IBF - Spöland Vännäs IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"6",6,"Utvisning","05:06",NA,"Johan Mitterer","Spöland Vännäs IF","Period3","Obstruktion",2,"Umeå City IBF - Spöland Vännäs IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"7",7,"Utvisning","12:03",NA,"Johan Mitterer","Spöland Vännäs IF","Period3","Protest mot domslut",2,"Umeå City IBF - Spöland Vännäs IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"8",8,"Utvisning","17:50",NA,"","IBF Dalen","Period1","Slag",2,"Gamla Stan IBK - IBF Dalen","Gustav Broadhall","Rasmus Säfvenberg","Gustav Broadhall, Rasmus Säfvenberg"
"9",9,"Utvisning","07:53",NA,"Adam Norell","IBF Dalen","Period3","Hårt spel 2",2,"Gamla Stan IBK - IBF Dalen","Gustav Broadhall","Rasmus Säfvenberg","Gustav Broadhall, Rasmus Säfvenberg"
"10",10,"Utvisning","13:47",NA,"Oscar Lundström","Gamla Stan IBK","Period3","Slag",2,"Gamla Stan IBK - IBF Dalen","Gustav Broadhall","Rasmus Säfvenberg","Gustav Broadhall, Rasmus Säfvenberg"
"11",11,"Utvisning","00:11",NA,"Adam Kryg","IBF Dalen","Period1","Låsning av klubba",2,"Umeå City IBF - IBF Dalen","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"12",12,"Utvisning","02:24",NA,"William Nordström","Umeå City IBF","Period3","Hårt spel 2",2,"Umeå City IBF - IBF Dalen","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"13",13,"Utvisning","03:21",NA,"Simon Ekman","Umeå City IBF","Period3","Felaktigt byte",2,"Umeå City IBF - IBF Dalen","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"14",14,"Utvisning","15:32",NA,"Ludvig Nyman","Umeå City IBF","Period3","Slag",2,"Umeå City IBF - IBF Dalen","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"15",15,"Utvisning","19:08",NA,"Adam Lundgren","IBF Dalen","Period3","Hårt spel 2",2,"Umeå City IBF - IBF Dalen","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"16",16,"Utvisning","19:49",NA,"Kasper Jonsson","Spöland Vännäs IF","Period2","Slag",2,"Spöland Vännäs IF - Gamla Stan IBK","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"17",17,"Utvisning","14:08",NA,"Emil Nilsson","Spöland Vännäs IF","Period3","Otillåten trängning",2,"Spöland Vännäs IF - Gamla Stan IBK","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"18",18,"Utvisning","19:17",NA,"Samuel Åslin","Spöland Vännäs IF","Period3","Farligt spel",5,"Spöland Vännäs IF - Gamla Stan IBK","Andreas Eriksson","Rasmus Säfvenberg","Andreas Eriksson, Rasmus Säfvenberg"
"19",19,"Utvisning","05:48",NA,"Leon Ericsson","IBF Dalen","Period3","Otillåten trängning",2,"Spöland Vännäs IF - IBF Dalen","Erik Hörnros","David Karlsson","Erik Hörnros, David Karlsson"
"20",20,"Utvisning","08:56",NA,"Oskar Johansson","IBF Dalen","Period3","Hårt spel 2",2,"Spöland Vännäs IF - IBF Dalen","Erik Hörnros","David Karlsson","Erik Hörnros, David Karlsson"
"21",21,"Utvisning","11:03",NA,"Valter Jonsson","Spöland Vännäs IF","Period3","Hårt spel 2",2,"Spöland Vännäs IF - IBF Dalen","Erik Hörnros","David Karlsson","Erik Hörnros, David Karlsson"
"22",22,"Utvisning","15:25",NA,"Leon Ericsson","IBF Dalen","Period3","Hårt spel 2",2,"Spöland Vännäs IF - IBF Dalen","Erik Hörnros","David Karlsson","Erik Hörnros, David Karlsson"
"23",23,"Utvisning","15:25",NA,"Johan Mitterer","Spöland Vännäs IF","Period3","Fasthållning",2,"Spöland Vännäs IF - IBF Dalen","Erik Hörnros","David Karlsson","Erik Hörnros, David Karlsson"
"24",24,"Utvisning","03:11",NA,"Elliott Forsberg","Umeå City IBF","Period1","Slag",2,"Umeå City IBF - Gamla Stan IBK","Marcus Glad","Rasmus Säfvenberg","Marcus Glad, Rasmus Säfvenberg"
"25",25,"Utvisning","03:51",NA,"Pontus Lindström","Gamla Stan IBK","Period2","Slag",2,"Umeå City IBF - Gamla Stan IBK","Marcus Glad","Rasmus Säfvenberg","Marcus Glad, Rasmus Säfvenberg"
"26",26,"Utvisning","09:04",NA,"William Nordström","Umeå City IBF","Period3","Hårt spel 2",2,"Umeå City IBF - Gamla Stan IBK","Marcus Glad","Rasmus Säfvenberg","Marcus Glad, Rasmus Säfvenberg"
"27",27,"Utvisning","10:56",NA,"Linus Wilhelmsson","Gamla Stan IBK","Period3","Otillåten trängning",2,"Umeå City IBF - Gamla Stan IBK","Marcus Glad","Rasmus Säfvenberg","Marcus Glad, Rasmus Säfvenberg"
"28",28,"Utvisning","07:40",NA,"Johan Nygren","Gimonäs Umeå IF","Period1","Otillåten trängning",2,"Gamla Stan IBK - Gimonäs Umeå IF","Kim Fallbjörk","Christoffer Lind","Kim Fallbjörk, Christoffer Lind"
"29",29,"Utvisning","10:42",NA,"Marcus Backman","Gamla Stan IBK","Period1","Slag",2,"Gamla Stan IBK - Gimonäs Umeå IF","Kim Fallbjörk","Christoffer Lind","Kim Fallbjörk, Christoffer Lind"
"30",30,"Utvisning","04:36",NA,"Emilio Westergren Meucci","Gimonäs Umeå IF","Period3","Slag",2,"Gamla Stan IBK - Gimonäs Umeå IF","Kim Fallbjörk","Christoffer Lind","Kim Fallbjörk, Christoffer Lind"
"31",31,"Utvisning","07:18",NA,"Lukas Vallgren","Ersboda SK","Period2","Slag",2,"Ersboda SK - IBF Dalen","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"32",32,"Utvisning","03:42",NA,"Adam Lundgren","IBF Dalen","Period3","Otillåten trängning",2,"Ersboda SK - IBF Dalen","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"33",33,"Utvisning","13:17",NA,"Isak Hermansson","Ersboda SK","Period3","Otillåten trängning",2,"Ersboda SK - IBF Dalen","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"34",34,"Utvisning","17:25",NA,"Lukas Vallgren","Ersboda SK","Period1","Slag",2,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"35",35,"Utvisning","03:45",NA,"Emil Nilsson","Spöland Vännäs IF","Period2","Hårt spel 2",2,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"36",36,"Utvisning","06:28",NA,"Lukas Vallgren","Ersboda SK","Period2","Hårt spel 2",2,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"37",37,"Utvisning","19:59",NA,"Joel Långström","Ersboda SK","Period2","Hårt spel 2",2,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"38",38,"Utvisning","10:53",NA,"Per Lundberg","Spöland Vännäs IF","Period3","Slag",2,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"39",39,"Utvisning","18:25",NA,"William Norman","Ersboda SK","Period3","Hårt spel 5",5,"Ersboda SK - Spöland Vännäs IF","Kim Fallbjörk","Mattias Karlsson","Kim Fallbjörk, Mattias Karlsson"
"40",40,"Utvisning","02:07",NA,"Adam Brundin","Umeå City IBF","Period1","Fasthållning",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"41",41,"Utvisning","12:26",NA,"Alfred Stigbrand","Gimonäs Umeå IF","Period2","Låsning av klubba",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"42",42,"Utvisning","09:34",NA,"Viktor Johansson","Gimonäs Umeå IF","Period3","Hårt spel 2",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"43",43,"Utvisning","13:24",NA,"Helmer Wiklund","Gimonäs Umeå IF","Period3","Obstruktion",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"44",44,"Utvisning","08:04",NA,"Alexander Westman","IBF Dalen","Period1","Obstruktion",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
