"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","09:41","","Pernilla Hermansson","IBK Göteborg","Period1","Slag",2,"IBK Göteborg - Pixbo Wallenstam IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"2","Utvisning","05:03","","Therese Landén","Pixbo Wallenstam IBK","Period2","Upprepade förseelser",2,"IBK Göteborg - Pixbo Wallenstam IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"3","Utvisning","16:15","","Josefine Andersson","IBK Göteborg","Period2","Obstruktion",2,"IBK Göteborg - Pixbo Wallenstam IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"4","Utvisning","08:44","","Sara Johnsson","IBK Göteborg","Period3","Hårt spel 2",2,"IBK Göteborg - Pixbo Wallenstam IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"5","Utvisning","17:37","","Victoria Wallenstam","IBK Göteborg","Period3","Fördröjande av spelet",2,"IBK Göteborg - Pixbo Wallenstam IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"6","Utvisning","08:08","","Alicia Fylke","Pixbo Wallenstam IBK","Period2","Slag",2,"Endre IF - Pixbo Wallenstam IBK","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"7","Utvisning","06:57","","Mia Karjalainen","Pixbo Wallenstam IBK","Period3","Slag",2,"Endre IF - Pixbo Wallenstam IBK","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"8","Utvisning","17:45","","Linn Mikaelsson","IBK Dalen","Period2","Otillåten trängning",2,"IKSU - IBK Dalen","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"9","Utvisning","06:43","","Ellen Rasmussen","Malmö FBC","Period2","Slag",2,"Malmö FBC - Warberg IC","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"10","Utvisning","07:54","","Amanda Ahola","Warberg IC","Period3","Låsning av klubba",2,"Malmö FBC - Warberg IC","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"11","Utvisning","17:35","","Ellen Rasmussen","Malmö FBC","Period3","Slag",2,"Malmö FBC - Warberg IC","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"12","Utvisning","18:12","","Lisa Rengärde","Karlstad IBF","Period1","Slag",2,"IKSU - Karlstad IBF","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"13","Utvisning","10:15","","Lisa Rengärde","Karlstad IBF","Period3","Upprepade förseelser",2,"IKSU - Karlstad IBF","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"14","Utvisning","13:06","","Amanda Delgado Johansson","IKSU","Period3","Fördröjande av spelet",2,"IKSU - Karlstad IBF","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"15","Utvisning","19:52","","Luize Bilinska","Karlstad IBF","Period1","Slag",2,"Jönköpings IK - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"16","Utvisning","11:49","","Amanda Berggren","Karlstad IBF","Period2","Hårt spel 2",2,"Jönköpings IK - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"17","Utvisning","11:49","","Emma Dahlström ","Karlstad IBF","Period2","Hårt spel 2",2,"Jönköpings IK - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"18","Utvisning","06:47","","Lisa Svarfvar","KAIS Mora IF","Period2","Slag",2,"KAIS Mora IF - IK Sirius FBC","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"19","Utvisning","19:31","","Charlotte Bravo","IK Sirius FBC","Period2","Slag",2,"KAIS Mora IF - IK Sirius FBC","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
