"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","18:36","","Felix Lanver","Linköping IBK","Period2","Fasthållning",2,"Höllvikens IBF - Linköping IBK","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"2","Utvisning","02:47","","Jakob Gullberg","Höllvikens IBF","Period3","Slag",2,"Höllvikens IBF - Linköping IBK","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"3","Utvisning","19:56","","Nikolaus Moberg","Höllvikens IBF","Period3","Hårt spel 2",2,"Höllvikens IBF - Linköping IBK","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"4","Utvisning","16:51","","Viktor Nystedt","IBK Dalen","Period2","Hårt spel 2",2,"IBK Dalen - Storvreta IBK","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"5","Utvisning","19:35","","Emil Helmrich ","Storvreta IBK","Period2","Slag",2,"IBK Dalen - Storvreta IBK","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"6","Utvisning","04:16","","Patrik Rokka","IBK Dalen","Period3","Hårt spel 2",2,"IBK Dalen - Storvreta IBK","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"7","Utvisning","04:16","","Måns Parsjö-Tegnér ","IBK Dalen","Period3","Protest mot domslut",2,"IBK Dalen - Storvreta IBK","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"8","Utvisning","17:12","","Jonathan Skoglösa","FC Helsingborg","Period1","Låsning av klubba",2,"FC Helsingborg - Växjö IBK","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"9","Utvisning","00:30","","William Lindh","Pixbo Wallenstam IBK","Period1","Otillåten trängning",2,"Pixbo Wallenstam IBK - Jönköpings IK","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"10","Utvisning","08:53","","Filip Åkerblom","Jönköpings IK","Period1","Låsning av klubba",2,"Pixbo Wallenstam IBK - Jönköpings IK","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"11","Utvisning","17:12","","Jens Milesson","Pixbo Wallenstam IBK","Period1","Hands",2,"Pixbo Wallenstam IBK - Jönköpings IK","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"12","Utvisning","11:04","","Martin Glimberg","Jönköpings IK","Period3","Slag",2,"Pixbo Wallenstam IBK - Jönköpings IK","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"13","Utvisning","19:44","","Charlie Sköld","Pixbo Wallenstam IBK","Period3","Slag",2,"Pixbo Wallenstam IBK - Jönköpings IK","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"14","Utvisning","11:35","","Joel Wadsten","Jönköpings IK","Period1","Fasthållning",2,"Mullsjö AIS - Jönköpings IK","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"15","Utvisning","03:30","","Isaac Rosén","Mullsjö AIS","Period3","Fasthållning",2,"Mullsjö AIS - Jönköpings IK","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
