"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","16:22","","Fredrik Dahlin","Jemtland Innebandy","Period1","Obstruktion",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"2","Utvisning","18:22","","Isac Kronsten","Jemtland Innebandy","Period1","Slag",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"3","Utvisning","12:49","","Martin Edman","IBK Luleå","Period2","Fördröjande av spelet",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"4","Utvisning","15:36","","Mattias Berlin","IBK Luleå","Period2","Upprepade förseelser",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"5","Utvisning","09:47","","Martin Edman","IBK Luleå","Period3","Upprepade förseelser",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"6","Utvisning","16:20","","Fredrik Dahlin","Jemtland Innebandy","Period3","Slag",2,"IBK Luleå - Jemtland Innebandy","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"7","Utvisning","12:12","","Erik Hedström","Gamla Stan IBK","Period1","Spel utan klubba",2,"IBF Dalen - Gamla Stan IBK","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"8","Utvisning","01:03","","Erik Hedström","Gamla Stan IBK","Period2","Hårt spel 2",2,"IBF Dalen - Gamla Stan IBK","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"9","Utvisning","06:49","","Kostas Boström","IBF Dalen","Period2","Fasthållning",2,"IBF Dalen - Gamla Stan IBK","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"10","Utvisning","18:25","","Menkem Muruts Teferi","FBC Bollnäs","Period1","Slag",2,"FBC Bollnäs - Team Thorengruppen Ungdom SK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"11","Utvisning","01:33","","Andreas Forsberg","Team Thorengruppen Ungdom SK","Period2","Felaktigt byte",2,"FBC Bollnäs - Team Thorengruppen Ungdom SK","David Berger","Tobias Berger","David Berger, Tobias Berger"
"12","Utvisning","09:26","","Simon Enqvist","Gamla Stan IBK","Period2","Hög klubba",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"13","Utvisning","17:48","","Mattias Berlin","IBK Luleå","Period2","Lyftning av klubba",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"14","Utvisning","19:18","","Jesse Perttunen","IBK Luleå","Period2","Slag",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"15","Utvisning","09:33","","Lukas Lindenhall ","IBK Luleå","Period3","Liggande spel",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"16","Utvisning","17:12","","Jonatan Manberg","Gamla Stan IBK","Period3","Hårt spel 2",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"17","Utvisning","17:46","","Max Granlund","Gamla Stan IBK","Period3","Osportsligt uppträdande",12,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"18","Utvisning","17:46","","Lukas Lindenhall ","IBK Luleå","Period3","Osportsligt uppträdande",12,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"19","Utvisning","02:43","","Casper Olofsson","IBK Luleå","Period4","Låsning av klubba",2,"Gamla Stan IBK - IBK Luleå","Tony Cederholm","Mathias Damgaard","Tony Cederholm, Mathias Damgaard"
"20","Utvisning","09:33","","Gabriel Wahlström","Sundsvall FBC Ungdom","Period2","Slag",2,"Sundsvall FBC Ungdom - Gimonäs Umeå IF","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"21","Utvisning","09:12","","Anton Rönnberg","Sundsvall FBC Ungdom","Period3","Slag",2,"Sundsvall FBC Ungdom - Gimonäs Umeå IF","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"22","Utvisning","11:58","","Emil Nilsson","Gimonäs Umeå IF","Period3","Slag",2,"Sundsvall FBC Ungdom - Gimonäs Umeå IF","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"23","Utvisning","14:34","","Marcus Carlson","Sundsvall FBC Ungdom","Period1","Otillåten trängning",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"24","Utvisning","17:03","","Viktor Jonsson","Örnsköldsvik IBK","Period1","Slag",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"25","Utvisning","10:36","","Anton Haarstad Nyberg","Örnsköldsvik IBK","Period2","Fasthållning",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"26","Utvisning","14:51","","Viktor Jonsson","Örnsköldsvik IBK","Period2","Otillåten trängning",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"27","Utvisning","18:31","","Viktor Jonsson","Örnsköldsvik IBK","Period2","Slag",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"28","Utvisning","03:55","","Gabriel Wahlström","Sundsvall FBC Ungdom","Period3","Otillåten trängning",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"29","Utvisning","17:31","","Elias Jonsson","Örnsköldsvik IBK","Period3","Hårt spel 2",2,"Sundsvall FBC Ungdom - Örnsköldsvik IBK","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"30","Utvisning","02:56","","Lucas Malmrot","Jemtland Innebandy","Period1","Hårt spel 2",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"31","Utvisning","03:39","","Alexander Andersson","FBC Bollnäs","Period1","Felaktigt avstånd",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"32","Utvisning","08:50","","Fredrik Dahlin","Jemtland Innebandy","Period1","Obstruktion",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"33","Utvisning","19:59","","Emil Malmrot","Jemtland Innebandy","Period1","Otillåten trängning",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"34","Utvisning","11:46","","Olle Olsson","Jemtland Innebandy","Period2","Hög klubba",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"35","Utvisning","14:45","","Emil Olnils","FBC Bollnäs","Period2","Slag",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"36","Utvisning","03:52","","Lucas Malmrot","Jemtland Innebandy","Period3","Upprepade förseelser",2,"Jemtland Innebandy - FBC Bollnäs","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"37","Utvisning","12:26","","Alexander Johansson Säther","Timrå IBC","Period1","Liggande spel",2,"Gimonäs Umeå IF - Timrå IBC","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"38","Utvisning","12:57","","Oscar Olofsson","Timrå IBC","Period2","Slag",2,"Gimonäs Umeå IF - Timrå IBC","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"39","Utvisning","15:13","","Jonas Lundahl","Timrå IBC","Period2","Obstruktion",2,"Gimonäs Umeå IF - Timrå IBC","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"40","Utvisning","04:48","","Niklas Fransson","Gimonäs Umeå IF","Period3","Slag",2,"Gimonäs Umeå IF - Timrå IBC","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
